semestre,district_id,banda_larga,nro_medicoes,medicoes_ipv6,medicoes_ipv4,mediana_download,mediana_upload,mediana_latencia,mediana_perdapacotes,mediana_jitterdown,mediana_jitterup
2022_1,01,movel,19,14,5,47.592384338378906,27.803391456604004,18.89299964904785,0.0,1.0499999523162842,1.6260000467300415
2022_1,02,movel,1,1,0,29.146623611450195,100.27366638183594,10.614999771118164,0.0,0.1480000019073486,3.871999979019165
2022_1,04,movel,1,1,0,201.93536376953125,100.78591918945312,8.75100040435791,0.0,0.3079999983310699,0.5199999809265137
2022_1,05,movel,12,5,7,61.9432430267334,10.989887714385986,17.9375,0.0,0.8350000083446503,1.7907499969005585
2022_1,06,movel,5,4,1,139.71543836593628,24.79827618598938,19.489749670028687,0.0,1.0319999679923058,1.4647499918937683
2022_1,07,movel,10,2,8,44.42500972747803,18.12638384103775,21.04124975204468,4.75,1.780000001192093,2.9180000126361847
2022_1,08,movel,40,15,25,163.9434356689453,26.675040245056152,7.214000225067139,0.0,0.356000006198883,0.7080000042915344
2022_1,09,movel,1,0,1,0.959999978542328,0.4147199988365173,43.729000091552734,0.0,2.7679998874664307,4.478000164031982
2022_1,10,movel,11,4,7,33.19132471084595,93.00318670272829,11.437000274658203,0.0,1.003999948501587,1.5260000228881836
2022_1,11,movel,26,0,26,41.33030891418457,29.15404891967773,5.824999809265137,0.0,0.3980000019073486,0.8080000281333923
2022_1,12,movel,9,6,3,50.69982051849365,54.51284122467041,6.685500144958496,1.25,0.8689999841153622,0.554249994456768
2022_1,13,movel,63,15,48,44.50362205505371,28.2172794342041,15.105999946594238,0.0,0.4310000091791153,1.462000012397766
2022_1,14,movel,3,1,2,23.38878059387207,8.659392356872559,29.214000701904297,0.0,2.0390000343322754,4.9070000648498535
2022_1,15,movel,11,6,5,50.678802490234375,108.81795120239258,6.744999885559082,0.0,0.402999997138977,0.7569999992847443
2022_1,16,movel,20,3,17,93.24019694328308,30.79918360710144,14.998499870300291,0.0,1.878750041127205,2.56574995815754
