semestre,district_id,banda_larga,nro_medicoes,medicoes_ipv6,medicoes_ipv4,mediana_download,mediana_upload,mediana_latencia,mediana_perdapacotes,mediana_jitterdown,mediana_jitterup
2021_2,01,movel,12,8,4,50.04380035400391,25.841087341308597,13.894000053405762,0.0,1.003000020980835,1.602500021457672
2021_2,02,movel,8,7,1,286.69713973999023,42.60508728027344,17.132500171661377,0.0,0.8505000174045563,2.419999957084656
2021_2,03,movel,1,0,1,1.203565001487732,28.491455078125,72.0469970703125,6.0,30.016000747680664,0.9300000071525574
2021_2,04,movel,11,8,3,102.55744171142578,19.60736083984375,18.98449993133545,0.0,1.1655000001192093,2.029500037431717
2021_2,05,movel,68,6,62,62.518781661987305,30.531935691833496,11.72950029373169,0.0,0.4657500013709068,1.2864999771118164
2021_2,06,movel,4,0,4,109.03655280172823,61.256094455718994,21.98350024223328,50.0,1.0789999961853027,0.6720000058412552
2021_2,07,movel,5,2,3,51.63340377807617,9.191424369812012,28.112000465393063,52.0,0.5920000039041042,13.067000046372414
2021_2,08,movel,2,1,1,324.24920654296875,18.18700790405273,36.35800075531006,0.0,1.995499968528748,4.439000070095062
2021_2,09,movel,7,6,1,84.85958099365234,69.30548667907715,32.96350049972534,27.75,15.459500148892404,0.4570000022649765
2021_2,10,movel,11,9,2,39.61540699005127,13.98694396018982,12.968500137329102,0.0,0.6227500140666962,1.6455000042915344
2021_2,11,movel,48,8,40,38.315521240234375,38.84294414520264,6.056000232696533,0.0,0.4040000140666961,0.6859999895095825
2021_2,12,movel,9,0,9,74.91471481323242,29.439775466918945,22.029500007629395,50.0,0.4455000013113022,11.40850019454956
2021_2,13,movel,23,21,2,26.694187879562374,66.07238578796387,11.96875,29.0,0.3419999927282333,0.3212499991059303
2021_2,14,movel,12,7,5,56.41408157348633,20.142303466796875,16.43600082397461,0.0,0.621999979019165,2.0350000858306885
2021_2,15,movel,12,11,1,36.772536277771,36.11792945861816,27.623499870300293,0.0,0.5147500038146973,2.658500075340271
2021_2,16,movel,4,3,1,82.50204086303711,22.91654348373413,13.38599967956543,0.0,0.4149999916553497,0.9904999732971193
2021_2,17,movel,77,13,64,25.18730735778809,21.38112068176269,16.86750030517578,2.0,1.0947500318288803,1.2945000231266022
2021_2,18,movel,47,30,17,40.23712158203125,25.544063568115234,15.239999771118164,0.0,0.7599999904632568,0.8679999709129333
2021_2,19,movel,27,1,26,40.69658660888672,22.219679832458496,9.611499786376951,0.0,0.4510000050067901,1.3450000286102295
2021_2,20,movel,10,1,9,111.14495849609376,104.50943756103516,10.417999982833862,0.0,0.5129999965429306,0.6849999874830246
2021_2,21,movel,41,13,28,45.44443893432617,86.136962890625,9.494000434875488,0.0,1.830000042915344,2.013000011444092
2021_2,22,movel,98,32,66,111.52108764648438,36.35116958618164,32.33749866485596,0.0,1.0115000009536743,0.956000030040741
2021_2,23,movel,45,6,39,72.37439727783203,46.099199295043945,7.921000003814697,0.0,0.5139999985694885,1.449999988079071
2021_2,24,movel,73,47,26,82.88674926757812,16.785792350769043,14.822499752044678,0.0,0.4805000051856041,1.2044999599456787
2021_2,25,movel,34,2,32,30.69696044921875,41.53289604187012,7.448750019073486,1.0,0.6785000264644623,0.2897499948740005
2021_2,26,movel,31,14,17,36.73044180870056,9.266767710447311,19.149500489234924,0.0,0.8659999966621399,2.012000024318695
2021_2,27,movel,5,0,5,88.2471604347229,70.83366298675537,7.391499996185303,50.0,0.919999986886978,10.26200008392334
2021_2,28,movel,33,20,13,98.3845443725586,35.23925590515137,8.300999641418457,0.0,0.7459999918937683,0.7319999933242798
2021_2,29,movel,4,2,2,31.189672470092773,22.412736892700195,16.323999881744385,0.0,1.1699999570846558,2.2780001163482666
