,semestre_1,district_id,banda_larga_1,nro_medicoes_1,medicoes_ipv6_1,medicoes_ipv4_1,mediana_download_1,mediana_upload_1,mediana_latencia_1,mediana_perdapacotes_1,mediana_jitterdown_1,mediana_jitterup_1,semestre_2,banda_larga_2,nro_medicoes_2,medicoes_ipv6_2,medicoes_ipv4_2,mediana_download_2,mediana_upload_2,mediana_latencia_2,mediana_perdapacotes_2,mediana_jitterdown_2,mediana_jitterup_2,media_download,media_upload,media_latencia,media_perdapacotes,media_jitterdown,media_jitterup
0,2022_1,1,movel,19,14,5,47.5923843383789,27.803391456604,18.8929996490479,0,1.04999995231628,1.62600004673004,2022_2,movel,39,10,29,35.8570652008057,33.5391044616699,12.7434997558594,0,0.466250002384186,0.545500010251999,41.7247247695923,30.671247959137,15.8182497024536,0,0.758124977350235,1.08575002849102
1,2022_1,2,movel,1,1,0,29.1466236114502,100.273666381836,10.6149997711182,0,0.148000001907349,3.87199997901917,2022_2,movel,12,6,6,61.9193105697632,33.5964803695679,23.5679998397827,0,0.946500018239021,1.98699998855591,45.5329670906067,66.9350733757019,17.0914998054504,0,0.547250010073185,2.92949998378754
2,2022_1,4,movel,1,1,0,201.935363769531,100.785919189453,8.75100040435791,0,0.30799999833107,0.519999980926514,2022_2,movel,53,48,5,21.6408004760742,16.4144649505615,23.5739994049072,0,0.912999987602234,0.944000005722046,111.788082122803,58.6001920700073,16.1624999046326,0,0.610499992966652,0.73199999332428
3,2022_1,5,movel,12,5,7,61.9432430267334,10.989887714386,17.9375,0,0.83500000834465,1.79074999690056,2022_2,movel,24,18,6,15.2831377983093,25.1849603652954,22.8172500133514,0,0.438500002026558,1.73750001192093,38.6131904125214,18.0874240398407,20.3773750066757,0,0.636750005185604,1.76412500441074
4,2022_1,6,movel,5,4,1,139.715438365936,24.7982761859894,19.4897496700287,0,1.03199996799231,1.46474999189377,2022_2,movel,105,42,63,30.7130870819092,21.4174728393555,24.3560009002686,0,0.851000010967255,1.24000000953674,85.2142627239227,23.1078745126724,21.9228752851486,0,0.94149998947978,1.35237500071526
5,2022_1,7,movel,10,2,8,44.425009727478,18.1263838410377,21.0412497520447,4.75,1.78000000119209,2.91800001263618,2022_2,movel,81,46,35,30.6689200401306,25.405632019043,16.960000038147,0,0.672750011086464,1.04100000858307,37.5469648838043,21.7660079300404,19.0006248950958,2.375,1.22637500613928,1.97950001060963
6,2022_1,8,movel,40,15,25,163.943435668945,26.6750402450562,7.21400022506714,0,0.356000006198883,0.708000004291534,2022_2,movel,41,33,8,24.0555958747864,27.8595204353332,15.6479997634888,0,0.606000006198883,1.67799997329712,93.9995157718658,27.2672803401947,11.430999994278,0,0.481000006198883,1.19299998879433
7,2022_1,9,movel,1,0,1,0.959999978542328,0.414719998836517,43.7290000915527,0,2.76799988746643,4.47800016403198,2022_2,movel,7,6,1,17.568190574646,4.11958396434784,35.9830017089844,0,0.954999983310699,7.38299989700317,9.26409527659416,2.26715198159218,39.8560009002686,0,1.86149993538857,5.93050003051758
8,2022_1,10,movel,11,4,7,33.1913247108459,93.0031867027283,11.4370002746582,0,1.00399994850159,1.52600002288818,2022_2,movel,23,17,6,18.0175683498383,31.2921600341797,15.7507500648499,0,1.19499999284744,0.970500022172928,25.6044465303421,62.147673368454,13.593875169754,0,1.09949997067451,1.24825002253056
9,2022_1,11,movel,26,0,26,41.3303089141846,29.1540489196777,5.82499980926514,0,0.398000001907349,0.808000028133392,2022_2,movel,143,60,83,21.3886470794678,29.1270408630371,9.36924993991852,0,0.331749998033047,0.603500008583069,31.3594779968262,29.1405448913574,7.59712487459183,0,0.364874999970198,0.705750018358231
10,2022_1,12,movel,9,6,3,50.6998205184937,54.5128412246704,6.6855001449585,1.25,0.868999984115362,0.554249994456768,2022_2,movel,118,52,66,21.4638023376465,33.1637134552002,15.2340002059937,0,1.07500004768372,1.87549997866154,36.0818114280701,43.8382773399353,10.9597501754761,0.625,0.972000015899539,1.21487498655915
11,2022_1,13,movel,63,15,48,44.5036220550537,28.2172794342041,15.1059999465942,0,0.431000009179115,1.46200001239777,2022_2,movel,40,35,5,16.9077768325806,17.3388357162476,23.5374994277954,0,0.510000020265579,0.530500009655952,30.7056994438171,22.7780575752258,19.3217496871948,0,0.470500014722347,0.996250011026859
12,2022_1,14,movel,3,1,2,23.3887805938721,8.65939235687256,29.2140007019043,0,2.03900003433228,4.90700006484985,2022_2,movel,12,11,1,36.9610204696655,31.7016000747681,21.3537497520447,0,0.472000002861023,1.5179999768734,30.1749005317688,20.1804962158203,25.2838752269745,0,1.25550001859665,3.21250002086163
13,2022_1,15,movel,11,6,5,50.6788024902344,108.817951202393,6.74499988555908,0,0.402999997138977,0.756999999284744,2022_2,movel,131,71,60,30.1267652511597,38.9214153289795,18.3630003929138,0,0.488499999046326,0.996499985456467,40.402783870697,73.869683265686,12.5540001392365,0,0.445749998092651,0.876749992370606
14,2022_1,16,movel,20,3,17,93.2401969432831,30.7991836071014,14.9984998703003,0,1.87875004112721,2.56574995815754,2022_2,movel,74,53,21,20.1215748786926,11.4913277626038,19.8299999237061,0,0.745999991893768,1.6139999628067,56.6808859109879,21.1452556848526,17.4142498970032,0,1.31237501651049,2.08987496048212
15,2022_1,17,movel,92,29,63,28.235924243927,35.1046409606934,11.9869999885559,0,0.534000001847744,2.1552500128746,2022_2,movel,113,40,73,18.8960552215576,22.8559353351593,19.9419994354248,0,0.374000012874603,0.681999981403351,23.5659897327423,28.9802881479263,15.9644997119904,0,0.454000007361174,1.41862499713898
16,2022_1,18,movel,36,25,11,31.2721576690674,37.2993583679199,11.1330003738403,0,0.26800000667572,0.78600001335144,2022_2,movel,78,60,18,19.495557308197,24.2105598449707,23.7419996261597,0,0.896499991416931,1.05574998259544,25.3838574886322,30.7549591064453,17.4375,0,0.582249999046326,0.920874997973442
17,2022_1,19,movel,40,6,34,46.0061874389649,31.0447204113007,6.50100016593933,0,0.374249987304211,0.513999983668327,2022_2,movel,82,42,40,14.524573802948,20.9328966140747,24.1509990692139,0,0.596000015735626,0.770499989390373,30.2653806209564,25.9888085126877,15.3259996175766,0,0.485125001519918,0.64224998652935
18,2022_1,20,movel,3,3,0,58.7833658456802,25.7128563001752,22.125750541687,0.5,1.38774996995926,5.69775015115738,2022_2,movel,24,19,5,33.8158912658691,45.2886562347412,19.1797497272491,0,0.485250003635883,1.99824998527765,46.2996285557747,35.5007562674582,20.6527501344681,0.25,0.936499986797571,3.84800006821752
19,2022_1,21,movel,12,6,6,165.052279472351,31.0474891662598,19.9475002288818,0,0.909000009298325,2.1609999537468,2022_2,movel,69,25,44,20.3607044219971,21.9801607131958,15.1085000038147,0,0.699999988079071,3.16100004315376,92.7064919471741,26.5138249397278,17.5280001163483,0,0.804499998688698,2.66099999845028
20,2022_1,22,movel,67,37,30,92.6600646972656,35.7385597229004,13.6470003128052,0,0.46900001168251,1.20000004768372,2022_2,movel,122,88,34,29.6324996948242,31.0128002166748,12.1299998760223,0,0.439750000834465,0.827749997377396,61.1462821960449,33.3756799697876,12.8885000944138,0,0.454375006258488,1.01387502253056
21,2022_1,23,movel,12,6,6,109.720031738281,68.1999034881592,8.8585000038147,0,0.399999991059303,1.18449997901917,2022_2,movel,61,37,24,22.0076880455017,25.735743522644,24.7440004348755,0,0.444999992847443,0.781000010669231,65.8638598918915,46.9678235054016,16.8012502193451,0,0.422499991953373,0.982749994844198
22,2022_1,24,movel,20,16,4,222.860473632812,42.5742721557617,7.2185001373291,0,0.25900000333786,1.59800004959106,2022_2,movel,93,62,31,15.9943790435791,22.8520317077637,27.7525005340576,0,0.763000011444092,1.21800005435944,119.427426338196,32.7131519317627,17.4855003356934,0,0.511000007390976,1.40800005197525
23,2022_1,25,movel,12,0,12,19.0444431304932,49.4430732727051,7.44500017166138,0,0.324499994516373,0.293999999761581,2022_2,movel,95,32,63,17.0171370506287,25.3049602508545,24.05299949646,0,0.797999978065491,0.849000006914139,18.0307900905609,37.3740167617798,15.7489998340607,0,0.561249986290932,0.57150000333786
