,semestre_1,district_id,banda_larga_1,nro_medicoes_1,medicoes_ipv6_1,medicoes_ipv4_1,mediana_download_1,mediana_upload_1,mediana_latencia_1,mediana_perdapacotes_1,mediana_jitterdown_1,mediana_jitterup_1,semestre_2,banda_larga_2,nro_medicoes_2,medicoes_ipv6_2,medicoes_ipv4_2,mediana_download_2,mediana_upload_2,mediana_latencia_2,mediana_perdapacotes_2,mediana_jitterdown_2,mediana_jitterup_2,media_download,media_upload,media_latencia,media_perdapacotes,media_jitterdown,media_jitterup
16,2021_1,20,movel,2,2,0,,,45.5065002441406,4.5,2.87100005149841,17.9574995040894,2021_2,movel,10,1,9,111.144958496094,104.509437561035,10.4179999828339,0,0.512999996542931,0.684999987483025,55.5724792480469,52.2547187805176,27.9622501134872,2.25,1.69200002402067,9.32124974578619
17,2021_1,21,movel,4,3,1,197.924789428711,158.67936706543,21.008749961853,0,5.14774990081787,6.59499990940094,2021_2,movel,41,13,28,45.4444389343262,86.136962890625,9.49400043487549,0,1.83000004291534,2.01300001144409,121.684614181519,122.408164978027,15.2513751983643,0,3.48887497186661,4.30399996042252
18,2021_1,22,movel,21,4,17,93.8199291229248,57.9368171691895,18.3685002326965,0,1.04075000435114,1.99800000339746,2021_2,movel,98,32,66,111.521087646484,36.3511695861816,32.337498664856,0,1.01150000095367,0.956000030040741,102.670508384705,47.1439933776856,25.3529994487762,0,1.02612500265241,1.4770000167191
19,2021_1,23,movel,10,2,8,76.532844543457,154.726654052734,7.97900009155273,0,0.261999994516373,0.392499998211861,2021_2,movel,45,6,39,72.374397277832,46.099199295044,7.9210000038147,0,0.513999998569489,1.44999998807907,74.4536209106445,100.412926673889,7.95000004768372,0,0.387999996542931,0.921249993145466
20,2021_1,24,movel,6,2,4,31.1221752166748,10.4719362258911,17.3479995727539,0,1.13499999046326,1.61300003528595,2021_2,movel,73,47,26,82.8867492675781,16.785792350769,14.8224997520447,0,0.480500005185604,1.20449995994568,57.0044622421265,13.6288642883301,16.0852496623993,0,0.80774999782443,1.40874999761581
21,2021_1,25,movel,28,0,28,18.7084808349609,37.4478721618652,12.5430002212524,0,0.810999989509583,0.754999995231628,2021_2,movel,34,2,32,30.6969604492187,41.5328960418701,7.44875001907349,1,0.678500026464462,0.289749994874,24.7027206420898,39.4903841018677,9.99587512016296,0.5,0.744750007987022,0.522374995052815
22,2021_1,26,movel,6,1,5,93.3438720703125,19.6928005218506,19.3599996566772,0,0.862499997019768,0.922500014305115,2021_2,movel,31,14,17,36.7304418087006,9.26676771044731,19.1495004892349,0,0.86599999666214,2.01200002431869,65.0371569395065,14.4797841161489,19.2547500729561,0,0.864249996840954,1.46725001931191
23,2021_1,27,movel,22,10,12,16.9135446548462,26.1941766738892,9.54349994659424,4.5,1.14900001883507,8.40500003099442,2021_2,movel,5,0,5,88.2471604347229,70.8336629867554,7.3914999961853,50,0.919999986886978,10.2620000839233,52.5803525447846,48.5139198303223,8.46749997138977,27.25,1.03450000286102,9.33350005745888
24,2021_1,28,movel,9,0,9,21.1329388618469,12.6722719669342,35.4917507171631,3,15.7532498985529,1.49849998950958,2021_2,movel,33,20,13,98.3845443725586,35.2392559051514,8.30099964141846,0,0.745999991893768,0.73199999332428,59.7587416172028,23.9557639360428,21.8963751792908,1.5,8.24962494522333,1.11524999141693
25,2021_1,29,movel,5,4,1,26.8517112731934,9.63788795471191,20.1917500495911,0,0.611749991774559,2.06200003623962,2021_2,movel,4,2,2,31.1896724700928,22.4127368927002,16.3239998817444,0,1.16999995708466,2.27800011634827,29.0206918716431,16.0253124237061,18.2578749656677,0,0.890874974429607,2.17000007629395
26,2021_1,30,movel,24,6,18,47.4178161621094,39.6117906570435,4.18474996089935,0,0.50500001013279,0.401249997317791,2021_2,movel,30,1,29,30.813440322876,42.5812797546387,8.39550018310547,0,0.766999989748001,0.872999995946884,39.1156282424927,41.0965352058411,6.29012507200241,0,0.635999999940395,0.637124996632338
27,2021_1,31,movel,7,0,7,28.4399547576904,54.2015991210937,10.960000038147,0.5,0.901500016450882,0.290999993681908,2021_2,movel,26,6,20,27.1471910476685,39.710095345974,6.86399984359741,0,0.427000001072884,0.834000028669834,27.7935729026794,46.9558472335339,8.91199994087219,0.25,0.664250008761883,0.562500011175871
28,2021_1,32,movel,15,6,9,106.862200021744,15.117919921875,29.7795000076294,0,3.95600000023842,3.67699998617172,2021_2,movel,7,5,2,18.5778813362122,26.6282405853271,13.8470001220703,0,0.867999970912933,1.80599999427795,62.720040678978,20.8730802536011,21.8132500648499,0,2.41199998557568,2.74149999022484
29,2021_1,33,movel,5,3,2,116.142240047455,124.93017578125,31.9702491760254,22.5,0.814000010490418,9.79250001907349,2021_2,movel,11,0,11,65.9317479133606,47.8990077972412,9.71350002288818,1,0.577999994158745,0.693499997258186,91.0369939804077,86.4145917892456,20.8418745994568,11.75,0.696000002324581,5.24300000816584
30,2021_1,34,movel,13,0,13,64.3046398162842,25.1827201843262,24.4525003433228,0,0.857999980449677,0.764999985694885,2021_2,movel,32,7,25,10.9712579250336,11.762704141438,13.9747498035431,0,1.18625000119209,1.99099999666214,37.6379488706589,18.4727121628821,19.2136250734329,0,1.02212499082088,1.37799999117851
31,2021_1,35,movel,10,0,10,2.97024011611938,16.8389759063721,36.8735008239746,0,1.64800000190735,0.944000005722046,2021_2,movel,25,9,16,19.5303831100464,13.7382397651672,15.813000202179,0,1.38349997997284,2.6784999370575,11.2503116130829,15.2886078357697,26.3432505130768,0,1.51574999094009,1.81124997138977
32,2021_1,36,movel,13,2,11,87.1267318725586,63.9806852340698,8.44474983215332,0,0.352249998599291,0.460500009357929,2021_2,movel,13,4,9,93.2592239379883,145.560531616211,6.30250000953674,0,0.320999994874,0.345999989658594,90.1929779052734,104.77060842514,7.37362492084503,0,0.336624996736646,0.403249999508262
33,2021_1,37,movel,15,2,13,129.358304977417,85.1732482910156,5.03899991512299,0,0.183500003069639,0.195500001311302,2021_2,movel,25,4,21,47.8745231628418,34.9460163116455,9.36324977874756,0,0.517000004649162,0.940500020980835,88.6164140701294,60.0596323013306,7.20112484693527,0,0.350250003859401,0.568000011146069
34,2021_1,38,movel,13,6,7,23.0908418893814,14.2057439684868,22.7600002288818,0,0.843999981880188,0.64750000834465,2021_2,movel,31,15,16,13.3983836174011,9.11231970787048,15.8470001220703,0,0.827499985694885,0.77250000834465,18.2446127533913,11.6590318381786,19.3035001754761,0,0.835749983787537,0.71000000834465
35,2021_1,39,movel,4,0,4,8.64355087280273,6.99148797988892,7.95700001716614,1.5,0.97299998998642,1.83749997615814,2021_2,movel,10,8,2,98.1435852050781,39.749361038208,10.1995000839233,3,0.736000001430512,1.79649996757507,53.3935680389404,23.3704245090485,9.07825005054474,2.25,0.854499995708466,1.81699997186661
36,2021_1,41,movel,7,2,5,8.0020033121109,7.09759998321533,7.43474984169006,0,0.452749993652105,2.72724995017052,2021_2,movel,14,4,10,61.4323501586914,49.7172470092773,16.7907500267029,0,0.638000011444092,0.856250002980232,34.7171767354012,28.4074234962463,12.1127499341965,0,0.545375002548099,1.79174997657537
37,2021_1,42,movel,19,2,17,11.3264582157135,8.21574380993843,35.9632501602173,0.5,1.56475000083447,2.23300004005432,2021_2,movel,25,18,7,24.7484951019287,31.8881607055664,8.64849996566772,0,0.422749996185303,1.11100000143051,18.0374766588211,20.0519522577524,22.3058750629425,0.25,0.993749998509884,1.67200002074242
38,2021_1,43,movel,76,7,69,20.340991973877,21.9112319946289,36.4724998474121,1,2.75399994850159,1.68800002336502,2021_2,movel,74,5,69,25.4623188972473,28.2058553695679,7.93650007247925,0,0.453499987721443,1.90299999713898,22.9016554355621,25.0585436820984,22.2044999599457,0.5,1.60374996811152,1.795500010252
39,2021_1,44,movel,16,0,16,58.9687328338623,35.1260476112366,9.07399988174439,0.5,0.612500011920929,3.35199999809265,2021_2,movel,16,1,15,63.667350769043,42.9711360931397,8.08299994468689,0,0.56199999153614,0.745999991893768,61.3180418014526,39.0485918521881,8.57849991321564,0.25,0.587250001728535,2.04899999499321
40,2021_1,45,movel,1,0,1,3.56108498573303,14.440447807312,100.607002258301,7,3.37800002098083,2.93799996376038,2021_2,movel,13,9,4,72.3850250244141,51.2353916168213,11.4487500190735,0,1.28924998641014,0.769999980926514,37.9730550050735,32.8379197120667,56.0278761386871,3.5,2.33362500369549,1.85399997234344
41,2021_1,46,movel,28,7,21,29.8775224685669,30.9361915588379,22.4079999923706,0,0.510999992489815,2.13000005483627,2021_2,movel,41,12,29,72.9320392608643,32.1928324699402,15.5292496681213,0,0.358750000596046,0.978499993681908,51.4047808647156,31.564512014389,18.968624830246,0,0.434874996542931,1.55425002425909
42,2021_1,47,movel,3,0,3,39.6323213577271,40.2524642944336,4.98950004577637,25,0.577499985694885,0.755999967455864,2021_2,movel,31,3,28,57.889235496521,25.2990880012512,6.27150011062622,0,0.763250008225441,0.93299999833107,48.760778427124,32.7757761478424,5.63050007820129,12.5,0.670374996960163,0.844499982893467
43,2021_1,48,movel,36,2,34,37.4238495826721,48.8333745002747,10.1070003509521,0,0.857999980449677,2.15050005912781,2021_2,movel,30,15,15,60.7866716384888,52.7511682510376,15.0499997138977,0,0.702500008046627,1.20200000703335,49.1052606105805,50.7922713756561,12.5785000324249,0,0.780249994248152,1.67625003308058
44,2021_1,49,movel,3,0,3,4.8437762260437,4.8437762260437,6.17799997329712,0,0.266000002622604,0.194000005722046,2021_2,movel,10,4,6,14.3178243637085,22.6944007873535,17.7470002174377,0,1.65299999713898,1.7270000576973,9.5808002948761,13.7690885066986,11.9625000953674,0,0.959499999880791,0.960500031709671
45,2021_1,50,movel,5,2,3,291.360046386719,292.625762939453,18.2355003356934,0,0.636000007390976,0.674000024795532,2021_2,movel,6,1,5,6.17178010940552,2.44991993904114,51.2910003662109,0,3.41199994087219,9.73999977111816,148.765913248062,147.537841439247,34.7632503509521,0,2.02399997413158,5.20699989795685
46,2021_1,54,movel,1,0,1,,,54.4519996643066,0,1.21000003814697,2.94000005722046,2021_2,movel,3,0,3,36.1345205307007,32.5152153968811,23.5157504081726,0.25,0.748250000178814,2.77425000444055,18.0672602653503,16.2576076984406,38.9838750362396,0.125,0.979125019162893,2.8571250308305
47,2021_1,55,movel,8,0,8,93.1059265136719,63.3060474395752,5.81649994850159,0,0.243499994277954,1.47450000047684,2021_2,movel,13,5,8,34.7097587585449,40.4947204589844,6.76800012588501,0,0.459999993443489,1.57599997520447,63.9078426361084,51.9003839492798,6.2922500371933,0,0.351749993860722,1.52524998784065
48,2021_1,56,movel,2,0,2,54.4996700286865,110.204349517822,4.4689998626709,0,0.109999999403953,0.180999994277954,2021_2,movel,6,1,5,22.7597255706787,14.5383203625679,8.89275002479553,0,0.546999990940094,1.81125003099442,38.6296977996826,62.3713349401951,6.68087494373322,0,0.328499995172024,0.996125012636185
49,2021_1,58,movel,14,4,10,0.490875005722046,11.2183675765991,5.8769998550415,0,0.674999982118607,1.22200000286102,2021_2,movel,23,0,23,24.2307953834534,20.4375357627869,6.25675010681152,1,0.555250003933907,0.516000002622604,12.3608351945877,15.827951669693,6.06687498092651,0.5,0.615124993026257,0.869000002741814
50,2021_1,59,movel,3,0,3,12.0038404464722,21.4963207244873,10.9980001449585,0,1.27799999713898,2.0460000038147,2021_2,movel,63,44,19,37.1563911437988,10.3729915618896,18.2809996604919,0,0.526250004768372,1.23225003480911,24.5801157951355,15.9346561431885,14.6394999027252,0,0.902125000953674,1.63912501931191
51,2021_1,60,movel,16,0,16,158.013442993164,26.2145919799805,7.07100009918213,100,0.796000003814697,0.277999997138977,2021_2,movel,14,3,11,28.1473908424377,55.3719682693482,11.4180002212524,25,1.0120000243187,3.10400009155273,93.0804169178009,40.7932801246643,9.24450016021729,62.5,0.904000014066696,1.69100004434586
52,2021_1,63,movel,7,4,3,175.836475372314,79.6087030172348,17.9539999961853,0.75,0.881250016391277,3.10400003194809,2021_2,movel,12,9,3,42.466082572937,36.2419204711914,9.25399971008301,0,0.210999995470047,0.96399998664856,109.151278972626,57.9253117442131,13.6039998531342,0.375,0.546125005930662,2.03400000929832
53,2021_1,64,movel,24,10,14,58.0436220169067,19.4089915752411,17.0365002155304,0,1.17524999380112,1.94549998641014,2021_2,movel,41,2,39,22.9039363861084,10.6928644180298,28.5122501850128,1,1.58800004050136,0.947499990463257,40.4737792015076,15.0509279966354,22.7743752002716,0.5,1.38162501715124,1.4464999884367
54,2021_1,65,movel,14,0,14,46.6801605224609,45.501953125,14.7425003051758,0,0.711000025272369,2.02649998664856,2021_2,movel,15,1,14,47.1035995483398,10.327296257019,10.3400001525879,0,0.521000027656555,1.98800003528595,46.8918800354004,27.9146246910095,12.5412502288818,0,0.616000026464462,2.00725001096725
55,2021_1,66,movel,16,7,9,62.4070053100586,59.9097595214844,7.3899998664856,0,0.345500007271767,0.874999985098839,2021_2,movel,21,8,13,24.6886959075928,19.2989435195923,10.9450001716614,0,0.508999988436699,1.11150002479553,43.5478506088257,39.6043515205383,9.16750001907349,0,0.427249997854233,0.993250004947186
56,2021_1,67,movel,30,13,17,29.8564023971558,25.7223360538483,14.3777501583099,0,0.49524999409914,1.66449999809265,2021_2,movel,10,7,3,43.8702110648155,52.2504634857178,5.95500016212463,0,0.372000008821487,1.39499998092651,36.8633067309856,38.986399769783,10.1663751602173,0,0.433625001460314,1.52974998950958
57,2021_1,68,movel,12,4,8,19.0839338302612,21.9403276443481,17.620500087738,0,0.857499979436398,1.3945000320673,2021_2,movel,31,8,23,28.1447868347168,27.1354160308838,10.5419998168945,0,0.727000012993813,1.19099998474121,23.614360332489,24.537871837616,14.0812499523163,0,0.792249996215105,1.29275000840426
58,2021_1,70,movel,28,17,11,37.9828910827637,33.4548006057739,11.6679997444153,0,0.478999987244606,1.28274996578693,2021_2,movel,45,8,37,31.336457490921,24.2848000526428,8.13525021076202,0,0.58050000667572,0.74600000679493,34.6596742868423,28.8698003292084,9.90162497758865,0,0.529749996960163,1.01437498629093
59,2021_1,71,movel,34,13,21,31.0182628631592,11.7932798862457,27.4422500133514,0,0.885999992489815,1.75499999523163,2021_2,movel,29,8,21,48.3481597900391,42.5659198760986,7.06650006771088,0,0.685499995946884,0.843999996781349,39.6832113265991,27.1795998811722,17.2543750405312,0,0.785749994218349,1.29949999600649
60,2021_1,72,movel,4,0,4,107.598220825195,102.919677734375,7.53550004959106,0,0.322999998927116,0.286500006914139,2021_2,movel,3,3,0,7.69460296630859,2.2071681022644,37.2569999694824,0,1.14199995994568,3.80299997329712,57.646411895752,52.5634229183197,22.3962500095367,0,0.732499979436398,2.04474999010563
61,2021_1,73,movel,1,0,1,47.1125755310059,48.9444465637207,10.6149997711182,0,1.74800002574921,0.819999992847443,2021_2,movel,10,6,4,81.1653614044189,23.876576423645,9.66050004959106,26.5,0.24100000411272,0.828000009059906,64.1389684677124,36.4105114936829,10.1377499103546,13.25,0.994500014930963,0.824000000953674
62,2021_1,74,movel,1,0,1,24.3788166046142,29.2911357879639,13.9989995956421,0,0.407999992370605,9.4379997253418,2021_2,movel,2,1,1,236.884704589844,146.164926528931,16.7280004024506,0,0.335500001907349,0.643999986350536,130.631760597229,87.7280311584473,15.3634999990463,0,0.371749997138977,5.04099985584617
63,2021_1,75,movel,6,0,6,43.0124893188477,64.1148805618286,8.84650015830994,0,1.66799995303154,0.751499980688095,2021_2,movel,31,22,9,12.6951789855957,28.2157440185547,25.9442491531372,0,0.295750003308058,0.526999995112419,27.8538341522217,46.1653122901917,17.3953746557236,0,0.981874978169799,0.639249987900257
