,semestre,district_id,banda_larga,nro_medicoes,medicoes_ipv6,medicoes_ipv4,mediana_download,mediana_upload,mediana_latencia,mediana_perdapacotes,mediana_jitterdown,mediana_jitterup
228,2021_1,20,movel,2,2,0,,,45.50650024414063,4.5,2.871000051498413,17.957499504089355
230,2021_1,21,movel,4,3,1,197.9247894287109,158.6793670654297,21.008749961853027,0.0,5.147749900817871,6.59499990940094
232,2021_1,22,movel,21,4,17,93.8199291229248,57.93681716918945,18.368500232696533,0.0,1.040750004351139,1.9980000033974648
234,2021_1,23,movel,10,2,8,76.53284454345703,154.72665405273438,7.979000091552734,0.0,0.2619999945163727,0.3924999982118606
236,2021_1,24,movel,6,2,4,31.122175216674805,10.471936225891112,17.347999572753906,0.0,1.1349999904632568,1.6130000352859497
238,2021_1,25,movel,28,0,28,18.708480834960938,37.447872161865234,12.54300022125244,0.0,0.8109999895095825,0.7549999952316284
240,2021_1,26,movel,6,1,5,93.3438720703125,19.692800521850582,19.35999965667725,0.0,0.8624999970197678,0.9225000143051147
242,2021_1,27,movel,22,10,12,16.91354465484619,26.19417667388916,9.543499946594238,4.5,1.1490000188350675,8.405000030994415
244,2021_1,28,movel,9,0,9,21.132938861846924,12.672271966934204,35.491750717163086,3.0,15.753249898552896,1.4984999895095823
246,2021_1,29,movel,5,4,1,26.85171127319336,9.637887954711914,20.191750049591064,0.0,0.611749991774559,2.062000036239624
248,2021_1,30,movel,24,6,18,47.417816162109375,39.61179065704346,4.184749960899353,0.0,0.5050000101327896,0.401249997317791
250,2021_1,31,movel,7,0,7,28.43995475769043,54.20159912109375,10.960000038146973,0.5,0.901500016450882,0.2909999936819076
252,2021_1,32,movel,15,6,9,106.86220002174376,15.117919921875,29.779500007629395,0.0,3.9560000002384186,3.6769999861717215
254,2021_1,33,movel,5,3,2,116.14224004745483,124.93017578125,31.97024917602539,22.5,0.8140000104904175,9.792500019073486
256,2021_1,34,movel,13,0,13,64.30463981628418,25.18272018432617,24.452500343322757,0.0,0.8579999804496765,0.7649999856948853
