semestre,district_id,banda_larga,nro_medicoes,medicoes_ipv6,medicoes_ipv4,mediana_download,mediana_upload,mediana_latencia,mediana_perdapacotes,mediana_jitterdown,mediana_jitterup
2021_1,01,movel,16,2,14,23.593872547149655,38.30399990081787,8.875750064849854,0.0,0.6815000027418137,1.4790000319480896
2021_1,02,movel,7,7,0,,,13.049000263214111,0.0,0.3780000060796737,1.1309999525547028
2021_1,03,movel,12,0,12,39.585097312927246,48.95183944702149,6.718500137329102,1.0,1.7759999632835388,0.679500013589859
2021_1,04,movel,3,0,3,93.78390979766846,83.60639667510986,9.476249933242798,0.0,0.3294999971985817,0.8682499974966049
2021_1,05,movel,3,0,3,34.29048538208008,21.36089515686035,29.913000106811523,100.0,2.1760001182556152,3.470000028610229
2021_1,07,movel,11,10,1,3.8526721000671382,3.8762240409851074,20.549500465393063,0.0,0.5265000015497208,2.097000002861023
2021_1,09,movel,11,7,4,28.062423706054688,23.777280569076535,33.17549991607666,2.0,15.645999997854233,1.1279999911785126
2021_1,10,movel,1,0,1,262.2543334960937,144.35366821289062,9.41100025177002,0.0,1.1619999408721924,0.5709999799728394
2021_1,11,movel,20,4,16,57.09427070617676,38.0230073928833,6.7829999923706055,0.0,0.5019999742507935,0.9940000176429749
2021_1,12,movel,10,4,6,58.90592098236084,29.43183946609497,11.345250129699709,25.0,0.2317499965429306,2.1282500326633453
2021_1,13,movel,10,8,2,93.5423984527588,87.78316974639893,10.42300033569336,0.0,0.3499999940395355,1.6759999990463257
2021_1,15,movel,8,0,8,8.69961929321289,14.883840084075928,15.86400032043457,0.0,0.8659999966621399,6.039999961853027
2021_1,16,movel,11,3,8,92.18397861719131,52.71830216050148,75.65775156021118,1.5,5.749750018119812,9.867750011384487
2021_1,17,movel,25,8,17,78.74886512756348,24.19142341613769,16.241999864578247,0.0,0.990500032901764,2.337500035762787
2021_1,18,movel,14,7,7,12.832383155822754,11.286911964416504,14.50950002670288,0.0,0.5060000121593475,1.143500030040741
2021_1,19,movel,21,3,18,29.770944595336918,36.892799377441406,9.166749954223633,0.0,0.4815000146627426,1.3007499873638153
2021_1,20,movel,2,2,0,,,45.50650024414063,4.5,2.871000051498413,17.957499504089355
2021_1,21,movel,4,3,1,197.9247894287109,158.6793670654297,21.008749961853027,0.0,5.147749900817871,6.59499990940094
2021_1,22,movel,21,4,17,93.8199291229248,57.93681716918945,18.368500232696533,0.0,1.040750004351139,1.9980000033974648
2021_1,23,movel,10,2,8,76.53284454345703,154.72665405273438,7.979000091552734,0.0,0.2619999945163727,0.3924999982118606
2021_1,24,movel,6,2,4,31.122175216674805,10.471936225891112,17.347999572753906,0.0,1.1349999904632568,1.6130000352859497
2021_1,25,movel,28,0,28,18.708480834960938,37.447872161865234,12.54300022125244,0.0,0.8109999895095825,0.7549999952316284
2021_1,26,movel,6,1,5,93.3438720703125,19.692800521850582,19.35999965667725,0.0,0.8624999970197678,0.9225000143051147
2021_1,27,movel,22,10,12,16.91354465484619,26.19417667388916,9.543499946594238,4.5,1.1490000188350675,8.405000030994415
2021_1,28,movel,9,0,9,21.132938861846924,12.672271966934204,35.491750717163086,3.0,15.753249898552896,1.4984999895095823
2021_1,29,movel,5,4,1,26.85171127319336,9.637887954711914,20.191750049591064,0.0,0.611749991774559,2.062000036239624
2021_1,30,movel,24,6,18,47.417816162109375,39.61179065704346,4.184749960899353,0.0,0.5050000101327896,0.401249997317791
2021_1,31,movel,7,0,7,28.43995475769043,54.20159912109375,10.960000038146973,0.5,0.901500016450882,0.2909999936819076
2021_1,32,movel,15,6,9,106.86220002174376,15.117919921875,29.779500007629395,0.0,3.9560000002384186,3.6769999861717215
2021_1,33,movel,5,3,2,116.14224004745483,124.93017578125,31.97024917602539,22.5,0.8140000104904175,9.792500019073486
2021_1,34,movel,13,0,13,64.30463981628418,25.18272018432617,24.452500343322757,0.0,0.8579999804496765,0.7649999856948853
2021_1,35,movel,10,0,10,2.9702401161193848,16.83897590637207,36.87350082397461,0.0,1.6480000019073486,0.944000005722046
2021_1,36,movel,13,2,11,87.1267318725586,63.980685234069824,8.44474983215332,0.0,0.3522499985992908,0.4605000093579292
2021_1,37,movel,15,2,13,129.358304977417,85.17324829101562,5.038999915122986,0.0,0.1835000030696392,0.1955000013113021
2021_1,38,movel,13,6,7,23.09084188938141,14.205743968486786,22.76000022888184,0.0,0.843999981880188,0.6475000083446503
2021_1,39,movel,4,0,4,8.643550872802734,6.991487979888916,7.957000017166138,1.5,0.9729999899864196,1.837499976158142
2021_1,41,movel,7,2,5,8.0020033121109,7.097599983215332,7.434749841690063,0.0,0.4527499936521053,2.727249950170517
2021_1,42,movel,19,2,17,11.3264582157135,8.21574380993843,35.963250160217285,0.5,1.564750000834465,2.2330000400543213
2021_1,43,movel,76,7,69,20.340991973876957,21.911231994628903,36.47249984741211,1.0,2.753999948501587,1.6880000233650208
2021_1,44,movel,16,0,16,58.96873283386231,35.12604761123657,9.073999881744385,0.5,0.612500011920929,3.351999998092652
2021_1,45,movel,1,0,1,3.561084985733032,14.440447807312012,100.60700225830078,7.0,3.378000020980835,2.937999963760376
2021_1,46,movel,28,7,21,29.87752246856689,30.93619155883789,22.407999992370605,0.0,0.5109999924898148,2.130000054836273
2021_1,47,movel,3,0,3,39.63232135772705,40.2524642944336,4.989500045776367,25.0,0.5774999856948853,0.755999967455864
2021_1,48,movel,36,2,34,37.42384958267212,48.83337450027466,10.107000350952148,0.0,0.8579999804496765,2.150500059127808
2021_1,49,movel,3,0,3,4.843776226043701,4.843776226043701,6.177999973297119,0.0,0.2660000026226043,0.1940000057220459
2021_1,50,movel,5,2,3,291.36004638671875,292.6257629394531,18.23550033569336,0.0,0.636000007390976,0.6740000247955322
2021_1,54,movel,1,0,1,,,54.45199966430664,0.0,1.2100000381469729,2.940000057220459
2021_1,55,movel,8,0,8,93.10592651367188,63.3060474395752,5.816499948501587,0.0,0.2434999942779541,1.4745000004768372
2021_1,56,movel,2,0,2,54.49967002868652,110.20434951782228,4.468999862670898,0.0,0.1099999994039535,0.1809999942779541
2021_1,58,movel,14,4,10,0.4908750057220459,11.21836757659912,5.876999855041504,0.0,0.6749999821186066,1.222000002861023
2021_1,59,movel,3,0,3,12.003840446472168,21.496320724487305,10.998000144958496,0.0,1.277999997138977,2.0460000038146973
2021_1,60,movel,16,0,16,158.01344299316406,26.21459197998047,7.071000099182129,100.0,0.7960000038146973,0.277999997138977
2021_1,63,movel,7,4,3,175.83647537231445,79.6087030172348,17.953999996185303,0.75,0.8812500163912773,3.1040000319480896
2021_1,64,movel,24,10,14,58.04362201690674,19.40899157524109,17.036500215530396,0.0,1.175249993801117,1.945499986410141
2021_1,65,movel,14,0,14,46.68016052246094,45.501953125,14.74250030517578,0.0,0.7110000252723694,2.02649998664856
2021_1,66,movel,16,7,9,62.407005310058594,59.909759521484375,7.389999866485596,0.0,0.3455000072717666,0.8749999850988388
2021_1,67,movel,30,13,17,29.85640239715576,25.722336053848267,14.377750158309937,0.0,0.4952499940991401,1.6644999980926514
2021_1,68,movel,12,4,8,19.08393383026123,21.940327644348145,17.620500087738037,0.0,0.8574999794363976,1.394500032067299
2021_1,70,movel,28,17,11,37.98289108276367,33.454800605773926,11.667999744415283,0.0,0.478999987244606,1.282749965786934
2021_1,71,movel,34,13,21,31.01826286315918,11.793279886245728,27.44225001335144,0.0,0.8859999924898148,1.7549999952316284
2021_1,72,movel,4,0,4,107.59822082519533,102.919677734375,7.535500049591064,0.0,0.3229999989271164,0.2865000069141388
2021_1,73,movel,1,0,1,47.11257553100586,48.9444465637207,10.614999771118164,0.0,1.7480000257492063,0.8199999928474426
2021_1,74,movel,1,0,1,24.378816604614254,29.291135787963867,13.99899959564209,0.0,0.4079999923706054,9.437999725341797
2021_1,75,movel,6,0,6,43.012489318847656,64.11488056182861,8.846500158309937,0.0,1.66799995303154,0.7514999806880951
2021_1,76,movel,59,23,36,24.98500633239746,25.02143955230713,8.530250191688538,0.0,0.4387500062584877,2.0300000309944157
2021_1,77,movel,7,5,2,94.1547508239746,26.19142436981201,20.24550008773804,0.0,0.7952499762177467,1.5745000541210177
2021_1,78,movel,1,0,1,0.5560320019721985,4.610432147979736,61.69200134277344,0.0,16.284000396728516,1.7860000133514404
2021_1,79,movel,2,2,0,,,14.55649995803833,0.0,0.6825000047683716,1.912999927997589
2021_1,81,movel,5,1,4,32.867573738098145,41.85753631591797,9.608500003814695,0.0,0.2414999902248382,4.086499929428101
2021_1,82,movel,26,16,10,29.186421513557438,34.34880065917969,17.92099952697754,0.0,0.4800000041723251,3.9670000076293945
2021_1,83,movel,19,2,17,33.65510559082031,19.78636741638184,6.035999774932861,0.0,0.9680000245571136,1.1050000190734863
2021_1,84,movel,5,2,3,33.48689651489258,27.889343738555908,13.29224967956543,1.5,0.3567499965429306,0.6347500085830688
2021_1,85,movel,6,0,6,167.41197204589844,26.2030086517334,40.84099960327149,100.0,1.116000056266785,5.334000110626221
2021_1,86,movel,11,3,8,98.00333976745604,118.17920207977296,22.438499927520752,0.0,0.4115000069141388,0.9859999716281892
2021_1,87,movel,4,2,2,64.39563751220703,82.19568252563477,18.634000062942505,0.0,1.332500010728836,2.6760000586509705
2021_1,88,movel,1,0,1,15.368413925170898,6.602880001068115,33.10200119018555,0.0,3.813999891281128,7.267000198364258
2021_1,90,movel,17,6,11,56.40192031860352,31.67833614349365,27.850250720977783,0.0,1.101749986410141,3.0094999372959137
2021_1,91,movel,21,8,13,68.1864538192749,39.61939239501953,8.169999599456787,0.0,0.2920000106096267,0.6340000033378601
2021_1,92,movel,6,2,4,60.40271759033203,106.42176055908205,11.643500089645386,0.0,0.355749998241663,1.1632499992847445
2021_1,94,movel,21,0,21,27.542572498321533,23.538984417915344,34.369998931884766,0.0,0.4239999949932098,1.409000039100647
2021_1,95,movel,8,1,7,52.84832382202149,46.36430358886719,6.753999948501587,0.0,0.3105000033974647,0.2860000059008598
2021_1,96,movel,18,0,18,36.08745622634888,36.10257577896118,7.657750129699707,0.0,0.5667500048875809,1.11524997651577
