semestre,district_id,banda_larga,nro_medicoes,medicoes_ipv6,medicoes_ipv4,mediana_download,mediana_upload,mediana_latencia,mediana_perdapacotes,mediana_jitterdown,mediana_jitterup
2023_1,01,movel,37,24,13,137.65510368347168,82.78083419799805,12.607999801635742,0.0,0.414000004529953,0.6369999945163727
2023_1,02,movel,18,16,2,120.59384727478027,78.37441635131836,17.130499601364136,0.0,0.7427500039339066,2.646249920129776
2023_1,03,movel,11,1,10,45.74011516571045,46.903679847717285,7.954749822616577,0.0,0.2134999968111515,0.3765000030398369
2023_1,04,movel,18,16,2,52.855953216552734,32.10624027252197,19.5149998664856,0.0,0.4365000016987324,0.8697500079870224
2023_1,05,movel,49,23,26,38.585455894470215,35.071678161621094,17.045499801635742,0.0,0.7245000004768372,1.3774999976158142
2023_1,06,movel,43,21,22,49.12966346740723,40.167792320251465,9.292500019073486,0.0,0.6504999995231628,1.4309999644756315
2023_1,07,movel,44,21,23,29.61897087097168,21.731584548950195,20.857999801635746,0.0,0.9240000247955322,0.8840000033378601
2023_1,08,movel,14,14,0,276.3109130859375,50.47391891479492,23.70400047302246,0.0,0.8534999787807465,0.9539999961853028
2023_1,09,movel,6,1,5,27.585599899291992,30.21760082244873,5.742500066757202,0.0,0.5720000267028809,1.055999994277954
2023_1,10,movel,59,11,48,29.970284461975098,31.06241607666016,36.00950050354004,0.0,1.199499994516373,3.437999963760376
2023_1,11,movel,49,12,37,24.81376481056213,37.71750545501709,13.9614999294281,0.0,0.5990000069141388,1.1970000267028809
2023_1,12,movel,33,16,17,37.33494663238525,42.73897552490234,9.510499954223633,0.0,0.867000013589859,1.0390000343322754
2023_1,13,movel,29,23,6,107.02624130249023,108.86287689208984,12.93499994277954,0.0,0.6159999966621399,1.2139999866485596
2023_1,14,movel,6,3,3,42.15713119506836,38.726240158081055,9.93500018119812,0.0,0.4760000109672546,0.6855000108480453
2023_1,15,movel,28,15,13,36.77989482879639,26.033408164978027,34.976999282836914,0.0,0.9699999988079072,1.807000041007996
2023_1,16,movel,64,44,20,42.93877410888672,20.527519702911377,17.99799919128418,0.0,1.118000030517578,2.1540000438690186
2023_1,17,movel,95,18,77,90.20774459838869,59.94399929046631,6.4095001220703125,0.0,0.3240000009536743,0.5370000004768372
2023_1,18,movel,32,19,13,47.27408027648926,39.90371322631836,13.301499843597412,0.0,0.5349999964237213,1.3614999651908877
2023_1,19,movel,113,42,71,82.38822937011719,106.64303970336914,9.746500015258787,0.0,0.3559999912977218,0.5699999928474426
2023_1,20,movel,59,39,20,37.61648368835449,34.79750442504883,18.378249883651733,0.0,0.9619999974966048,1.7489999681711197
2023_1,21,movel,32,10,22,43.90085458755493,17.06112027168274,18.112249851226807,0.0,0.5824999958276749,3.301500082015991
2023_1,22,movel,38,19,19,41.44128036499024,31.073280334472656,14.026000022888184,0.5,0.7039999961853027,1.269000023603439
2023_1,23,movel,24,10,14,54.317604064941406,74.50470352172852,12.555999755859377,0.0,0.3939999938011169,0.9020000100135804
2023_1,24,movel,38,14,24,48.613311767578125,39.88505554199219,14.91100001335144,0.0,0.622749999165535,1.6637499928474426
2023_1,25,movel,37,4,33,21.12832355499268,30.31382417678833,8.286499977111816,0.0,0.3275000005960464,0.5664999932050705
2023_1,26,movel,28,14,14,77.86474609375,39.71270379424095,14.916000366210938,0.0,0.8850000202655792,1.456499993801117
2023_1,27,movel,33,5,28,137.3272247314453,128.2372283935547,9.00100040435791,0.0,0.4259999990463257,0.5019999742507935
2023_1,28,movel,195,42,153,39.663360595703125,44.75289726257324,6.146999835968018,0.0,0.4059999883174896,1.3450000286102295
2023_1,29,movel,48,38,10,74.04096221923828,47.69471740722656,12.974500179290771,0.0,0.3915000036358833,0.8349999785423279
2023_1,30,movel,61,26,35,35.757118225097656,40.0144157409668,7.019999980926514,0.0,0.5389999896287918,0.7775000035762787
2023_1,31,movel,47,8,39,118.54080200195312,54.0425910949707,6.170000076293945,0.0,0.2680000066757202,0.4180000126361847
2023_1,32,movel,54,42,12,87.82182693481445,72.10089492797852,14.765999794006348,0.0,0.7369999885559082,0.9944999814033508
2023_1,33,movel,191,172,19,39.850284576416016,53.09932708740234,7.694999933242798,0.0,0.6040000021457672,0.9947499930858612
2023_1,34,movel,91,42,49,29.38055849075317,45.19540739059448,16.888500213623047,0.25,0.9919999837875366,1.093999981880188
2023_1,35,movel,102,64,38,22.030781269073486,24.174976348876957,19.601999759674072,0.0,0.9580000042915344,1.7912499904632568
2023_1,36,movel,96,23,73,29.203024864196777,32.07376003265381,7.21274995803833,0.0,0.4620000086724758,1.2105000019073486
2023_1,37,movel,27,18,9,44.74559307098389,98.03606796264648,9.986500024795532,0.0,0.3040000014007091,0.9772500097751616
2023_1,38,movel,56,29,27,78.81776237487793,75.88404846191406,9.99775004386902,0.0,0.6064999997615814,0.7475000023841858
2023_1,39,movel,40,32,8,98.819974899292,64.18400192260742,15.1080002784729,0.0,0.3300000056624412,1.2442499995231628
2023_1,40,movel,4,3,1,57.50125074386597,38.48108768463135,18.002999782562256,0.0,0.486500009894371,1.110500007867813
2023_1,41,movel,23,18,5,109.01069259643556,86.34585571289062,19.479999542236328,0.0,0.636000007390976,1.2910000085830688
2023_1,42,movel,67,29,38,37.45797729492188,33.35295867919922,12.763499736785889,0.0,0.5814999938011169,1.4415000081062317
2023_1,43,movel,142,84,58,27.340518951416016,36.17023849487305,8.484000205993652,1.0,0.3459999933838844,1.8580000400543213
