semestre,district_id,banda_larga,nro_medicoes,medicoes_ipv6,medicoes_ipv4,mediana_download,mediana_upload,mediana_latencia,mediana_perdapacotes,mediana_jitterdown,mediana_jitterup
2022_2,01,movel,39,10,29,35.857065200805664,33.53910446166992,12.743499755859377,0.0,0.4662500023841858,0.5455000102519989
2022_2,02,movel,12,6,6,61.919310569763184,33.59648036956787,23.567999839782715,0.0,0.9465000182390212,1.986999988555908
2022_2,03,movel,28,8,20,23.84004259109497,30.02227210998535,7.80649995803833,0.0,0.4985000044107437,0.6724999845027924
2022_2,04,movel,53,48,5,21.64080047607422,16.414464950561523,23.573999404907227,0.0,0.912999987602234,0.944000005722046
2022_2,05,movel,24,18,6,15.283137798309326,25.18496036529541,22.81725001335144,0.0,0.4385000020265579,1.737500011920929
2022_2,06,movel,105,42,63,30.71308708190918,21.41747283935547,24.356000900268555,0.0,0.8510000109672546,1.2400000095367432
2022_2,07,movel,81,46,35,30.66892004013061,25.40563201904297,16.960000038146973,0.0,0.6727500110864639,1.0410000085830688
2022_2,08,movel,41,33,8,24.055595874786377,27.85952043533325,15.64799976348877,0.0,0.6060000061988831,1.6779999732971191
2022_2,09,movel,7,6,1,17.568190574645996,4.119583964347839,35.983001708984375,0.0,0.9549999833106996,7.382999897003174
2022_2,10,movel,23,17,6,18.017568349838257,31.292160034179688,15.750750064849854,0.0,1.1949999928474426,0.970500022172928
2022_2,11,movel,143,60,83,21.388647079467773,29.12704086303711,9.369249939918518,0.0,0.3317499980330467,0.6035000085830688
2022_2,12,movel,118,52,66,21.463802337646484,33.163713455200195,15.234000205993652,0.0,1.0750000476837158,1.8754999786615367
2022_2,13,movel,40,35,5,16.907776832580566,17.33883571624756,23.53749942779541,0.0,0.5100000202655792,0.5305000096559525
2022_2,14,movel,12,11,1,36.96102046966553,31.701600074768063,21.35374975204468,0.0,0.4720000028610229,1.5179999768733978
2022_2,15,movel,131,71,60,30.126765251159668,38.92141532897949,18.36300039291382,0.0,0.4884999990463257,0.9964999854564668
2022_2,16,movel,74,53,21,20.121574878692627,11.49132776260376,19.82999992370605,0.0,0.7459999918937683,1.6139999628067017
2022_2,17,movel,113,40,73,18.896055221557617,22.8559353351593,19.941999435424805,0.0,0.3740000128746032,0.6819999814033508
2022_2,18,movel,78,60,18,19.49555730819702,24.210559844970703,23.741999626159668,0.0,0.8964999914169312,1.0557499825954435
2022_2,19,movel,82,42,40,14.524573802947998,20.932896614074707,24.150999069213867,0.0,0.5960000157356262,0.7704999893903732
2022_2,20,movel,24,19,5,33.81589126586914,45.28865623474121,19.179749727249146,0.0,0.4852500036358833,1.9982499852776527
2022_2,21,movel,69,25,44,20.36070442199707,21.9801607131958,15.108500003814695,0.0,0.699999988079071,3.161000043153763
2022_2,22,movel,122,88,34,29.63249969482422,31.012800216674805,12.12999987602234,0.0,0.439750000834465,0.8277499973773956
2022_2,23,movel,61,37,24,22.00768804550171,25.735743522644043,24.74400043487549,0.0,0.4449999928474426,0.7810000106692314
2022_2,24,movel,93,62,31,15.994379043579102,22.852031707763672,27.752500534057617,0.0,0.7630000114440918,1.218000054359436
