semestre,district_id,banda_larga,nro_medicoes,medicoes_ipv6,medicoes_ipv4,mediana_download,mediana_upload,mediana_latencia,mediana_perdapacotes,mediana_jitterdown,mediana_jitterup
2021_1,01,fixa,8322,267,7783,62.37967205047608,22.096267700195312,14.682000160217283,0.0,1.1299999952316284,1.7400000095367432
2021_1,02,fixa,6116,1344,4610,87.03369522094727,27.47745037078857,11.99899959564209,0.0,0.7512500137090683,1.4529999494552612
2021_1,03,fixa,539,58,404,35.74021339416504,42.492587089538574,10.494499683380129,0.0,1.5820000171661377,1.140999972820282
2021_1,04,fixa,7672,156,7283,49.279985427856445,20.570146560668945,14.065999984741213,0.0,1.098499994724989,1.7247499972581863
2021_1,05,fixa,5807,202,5308,48.333322525024414,19.61547088623047,16.18899917602539,0.0,1.1990000009536743,1.75600004196167
2021_1,06,fixa,4951,96,4689,66.34481048583984,31.597018241882324,12.380749940872192,0.0,0.902999997138977,1.2137500122189522
2021_1,07,fixa,11329,261,10748,58.32911682128906,26.560779094696045,12.64050006866455,0.0,0.9520000219345092,1.227999985218048
2021_1,08,fixa,6425,174,5936,78.35872459411621,23.19237518310547,12.99749994277954,0.0,0.8560000061988831,1.468500018119812
2021_1,09,fixa,3591,63,3412,78.40076446533203,29.87544250488281,12.271250009536743,0.0,0.7722500152885914,1.017999991774559
2021_1,10,fixa,3394,72,3190,79.26620864868164,44.10119199752808,9.78249979019165,0.0,0.9212500005960464,0.9879999756813048
2021_1,11,fixa,13822,252,13207,35.94175910949707,28.41577434539795,11.11400032043457,0.0,1.540000021457672,1.292000025510788
2021_1,12,fixa,3765,250,3167,62.3051643371582,20.709924697875977,14.788999557495115,0.0,0.9594999849796296,1.8639999628067017
2021_1,13,fixa,10596,254,9891,51.90835571289063,26.1866135597229,14.323000192642212,0.0,1.3255000412464142,1.8105000257492063
2021_1,14,fixa,3462,176,3157,58.97551345825195,21.3790922164917,12.92424988746643,0.0,0.9012499898672104,1.3224999904632568
2021_1,15,fixa,2579,186,2178,63.40802383422852,37.487338066101074,13.991499900817873,0.0,1.0239999890327454,1.4199999570846558
2021_1,16,fixa,6955,416,6239,73.5617446899414,26.005844116210938,13.27899980545044,0.0,1.050000011920929,1.569000005722046
2021_1,17,fixa,15612,330,14648,41.77812957763672,25.674854278564453,11.174999713897703,0.0,1.25,1.3700000047683716
2021_1,18,fixa,5229,248,4677,53.11730194091797,21.72980117797852,13.799499988555908,0.0,1.12950000166893,1.3559999465942385
2021_1,19,fixa,9453,217,8925,28.6916561126709,21.518407821655277,11.989999771118164,0.0,1.246999979019165,0.9960000216960908
2021_1,20,fixa,7318,219,6878,72.68802261352539,29.89051914215088,12.133999824523926,0.0,0.909500002861023,1.3334999680519104
2021_1,21,fixa,5750,138,5441,65.12763118743896,23.347728729248047,12.997999668121338,0.0,0.9479999840259552,1.531999945640564
2021_1,22,fixa,9905,350,9208,48.16533756256104,28.931129455566406,11.434000015258787,0.0,1.0989999920129776,1.1859999895095823
