,semestre_1,district_id,banda_larga_1,nro_medicoes_1,medicoes_ipv6_1,medicoes_ipv4_1,mediana_download_1,mediana_upload_1,mediana_latencia_1,mediana_perdapacotes_1,mediana_jitterdown_1,mediana_jitterup_1,semestre_2,banda_larga_2,nro_medicoes_2,medicoes_ipv6_2,medicoes_ipv4_2,mediana_download_2,mediana_upload_2,mediana_latencia_2,mediana_perdapacotes_2,mediana_jitterdown_2,mediana_jitterup_2,media_download,media_upload,media_latencia,media_perdapacotes,media_jitterdown,media_jitterup
0,2020_1,1,fixa,6566,16,6242,49.412956237793,18.607141494751,19.6915001869202,0,0.914499998092651,1.83399999141693,2020_2,fixa,7655,6,7271,52.5283126831055,18.6297588348389,19.9979991912842,0,1.01250001788139,1.82599997520447,50.9706344604492,18.6184501647949,19.8447496891022,0,0.963500007987022,1.8299999833107
1,2020_1,2,fixa,9683,1088,8269,52.6197929382324,17.8989391326904,17.5590000152588,0,0.791999988257885,1.55650001764298,2020_2,fixa,8061,8,7804,57.7440395355225,18.8547964096069,15.2215001583099,0,0.826499998569489,1.85399997234344,55.1819162368774,18.3768677711487,16.3902500867844,0,0.809249993413687,1.70524999499321
2,2020_1,3,fixa,419,1,345,24.5368280410767,21.277568936348,12.8734998703003,0,1.3267499729991,1.56300002336502,2020_2,fixa,512,0,317,35.9691467285156,34.2604026794434,10.191999912262,0,1.13199996948242,1.12000000476837,30.2529873847961,27.7689858078957,11.5327498912811,0,1.22937497124076,1.3415000140667
3,2020_1,4,fixa,9434,11,9161,33.9746084213257,12.8859710693359,21.9249992370605,0,0.97299998998642,1.92425000667572,2020_2,fixa,12282,4,12068,41.7900791168213,17.8315048217773,20.219250202179,0,1.19925001263618,1.65900003910065,37.8823437690735,15.3587379455566,21.0721247196197,0,1.0861250013113,1.79162502288818
4,2020_1,5,fixa,5400,4,5064,30.3462657928467,14.3067214787006,23.5779991149902,0,1.40799999237061,2.10850006341934,2020_2,fixa,6946,1,6613,34.2783241271973,15.6118583679199,21.9984998703003,0,1.22949999570847,1.87000000476837,32.312294960022,14.9592899233103,22.7882494926453,0,1.31874999403954,1.98925003409386
5,2020_1,6,fixa,10333,1067,9051,49.3814868927002,22.7210779190063,16.3694996833801,0,0.931000009179115,1.67824998497963,2020_2,fixa,9359,722,8389,67.024543762207,22.7712478637695,15.5340003967285,0,0.917500004172325,1.36825004220009,58.2030153274536,22.7461628913879,15.9517500400543,0,0.92425000667572,1.52325001358986
6,2020_1,7,fixa,15596,2105,12780,51.2909564971924,20.9533214569092,16.7479991912842,0,0.787999987602234,1.16799998283386,2020_2,fixa,17181,1428,15104,55.2354354858398,22.6238584518433,14.5819997787476,0,0.759999990463257,1.09800004959106,53.2631959915161,21.7885899543762,15.6649994850159,0,0.773999989032745,1.13300001621246
7,2020_1,8,fixa,5348,1,5148,61.78173828125,25.3259401321411,12.8489999771118,0,0.921999990940094,1.32500004768372,2020_2,fixa,5594,2,5394,74.1368637084961,24.7568407058716,14.9334998130798,0,0.819000005722046,1.33899998664856,67.9593009948731,25.0413904190064,13.8912498950958,0,0.87049999833107,1.33200001716614
8,2020_1,9,fixa,628,3,490,48.2241096496582,19.7381715774536,14.1410000324249,0,0.989000022411346,1.29800000786781,2020_2,fixa,2890,0,2705,51.4731101989746,18.040472984314,19.2435007095337,0,0.910000026226044,1.55000001192093,49.8486099243164,18.8893222808838,16.6922503709793,0,0.949500024318695,1.42400000989437
9,2020_1,10,fixa,4272,3,4140,51.9377555847168,30.6597461700439,9.56599998474121,0,0.743499994277954,0.832000017166138,2020_2,fixa,4718,0,4540,59.0714795589447,39.2294292449951,9.88150024414062,0,0.887749999761581,0.972000002861023,55.5046175718308,34.9445877075195,9.72375011444092,0,0.815624997019768,0.90200001001358
10,2020_1,11,fixa,23507,11,23055,25.4051647186279,15.8804874420166,12.9989995956421,0,1.47000002861023,1.5514999628067,2020_2,fixa,21433,0,21081,30.6356263160706,25.0132454633713,11.2919998168945,0,1.63450002670288,1.27999997138977,28.0203955173492,20.4468664526939,12.1454997062683,0,1.55225002765656,1.41574996709824
11,2020_1,12,fixa,7027,1786,4762,47.0246047973633,17.0147299766541,14.9794998168945,0,0.83050000667572,1.77400004863739,2020_2,fixa,4034,2,3506,54.465389251709,19.4805908203125,17.3830008506775,0,0.819000005722046,1.6540000140667,50.7449970245361,18.2476603984833,16.181250333786,0,0.824750006198883,1.71400003135204
12,2020_1,13,fixa,8395,5,7904,34.086706161499,13.4676609039307,21.6000003814697,0,1.49199998378754,1.97750002145767,2020_2,fixa,13339,5,12829,38.2228317260742,18.7797966003418,18.5739996433258,0,1.36500000953674,1.79800003767014,36.1547689437866,16.1237287521362,20.0870000123978,0,1.42849999666214,1.8877500295639
13,2020_1,14,fixa,1085,4,884,47.1786422729492,19.1817626953125,17.619749546051,0,0.825750008225441,1.52724999189377,2020_2,fixa,1913,1,1754,52.316291809082,20.0542488098145,17.3889999389648,0,0.939500004053116,1.54900002479553,49.7474670410156,19.6180057525635,17.5043747425079,0,0.882625006139278,1.53812500834465
14,2020_1,15,fixa,4944,23,4614,51.5376701354981,18.0646643638611,15.5479998588562,0,1.01199996471405,1.77300000190735,2020_2,fixa,3981,3,3676,53.1472759246826,19.5192947387695,19.2220001220703,0,1.09300005435944,1.74199998378754,52.3424730300903,18.7919795513153,17.3849999904633,0,1.05250000953674,1.75749999284744
15,2020_1,16,fixa,7441,173,6627,39.2371644973755,15.5917282104492,19.2375001907349,0,1.24500000476837,2.05500000715256,2020_2,fixa,8324,3,7738,55.094783782959,18.2772879600525,19.1495008468628,0,1.14999997615814,1.88400000333786,47.1659741401672,16.9345080852509,19.1935005187988,0,1.19749999046326,1.96950000524521
16,2020_1,17,fixa,13421,14,12756,29.4021072387695,19.6514434814453,14.9915000200272,0,1.38399994373322,1.53699994087219,2020_2,fixa,20107,4,19269,34.979528427124,20.7124366760254,12.664999961853,0,1.25974999368191,1.56049996614456,32.1908178329468,20.1819400787353,13.8282499909401,0,1.32187496870756,1.54874995350838
17,2020_1,18,fixa,7067,6,6600,30.1894798278809,12.9694671630859,22.5519995689392,0,1.62100002169609,2.11074995994568,2020_2,fixa,8333,6,7596,37.5390472412109,16.1185169219971,22.9979991912842,0,1.3205000013113,1.9650000333786,33.8642635345459,14.5439920425415,22.7749993801117,0,1.4707500115037,2.03787499666214
18,2020_1,19,fixa,6233,5,5718,18.9071340560913,18.4085636138916,17.2905006408691,0,1.69025000929832,1.75800001621246,2020_2,fixa,8321,1,7817,23.2396154403686,20.3172268867493,16.5972497463226,0,1.53450000286102,1.63550001382828,21.07337474823,19.3628952503204,16.9438751935959,0,1.61237500607967,1.69675001502037
19,2020_1,20,fixa,5577,25,5219,39.833044052124,15.7279987335205,20.6260004043579,0,1.17500001192093,2.08100008964539,2020_2,fixa,7057,2,6394,43.4229869842529,18.1731748580933,20.3379993438721,0,1.01400005817413,1.86099994182587,41.6280155181885,16.9505867958069,20.481999874115,0,1.09450003504753,1.97100001573563
20,2020_1,21,fixa,5238,299,4679,49.688817024231,18.4832901954651,17.5795001983643,0,1.03749999403954,1.87149998545647,2020_2,fixa,6609,7,6380,51.0258483886719,18.7119154930115,17.3349990844727,0,1.02999997138977,1.76950001716614,50.3573327064514,18.5976028442383,17.4572496414185,0,1.03374998271465,1.8205000013113
21,2020_1,22,fixa,13660,22,13075,31.3972277641296,18.7890043258667,14.4370000362396,0,1.21274998784065,1.67525002360344,2020_2,fixa,12033,2,11484,41.0129203796387,25.505765914917,11.6584997177124,0,1.01199996471405,1.3400000333786,36.2050740718842,22.1473851203918,13.047749876976,0,1.11237497627735,1.50762502849102
22,2020_1,23,fixa,9010,1743,6761,33.3636131286621,17.1993288993835,17.7490005493164,0,1.27300000190735,1.67299997806549,2020_2,fixa,8629,1765,6221,37.2534561157227,20.0043106079102,16.4129998683929,0,1.31500005722046,1.57599997520447,35.3085346221924,18.6018197536469,17.0810002088547,0,1.2940000295639,1.62449997663498
23,2020_1,24,fixa,3437,740,2295,31.8289794921875,9.41242218017578,26.0939998626709,0,1.557000041008,2.45799994468689,2020_2,fixa,1995,1,1651,36.3300838470459,12.4678044319153,23.4980001449585,0,1.4264999628067,2.11199998855591,34.0795316696167,10.9401133060455,24.7960000038147,0,1.49175000190735,2.2849999666214
24,2020_1,25,fixa,10614,1,10350,21.568675994873,18.795238494873,13.2769999504089,0.5,1.88349997997284,1.59825003147125,2020_2,fixa,15697,12,15328,28.7545261383057,23.0894875526428,12.4054999351501,0,1.9539999961853,1.65499997138977,25.1616010665894,20.9423630237579,12.8412499427795,0.25,1.91874998807907,1.62662500143051
25,2020_1,26,fixa,12216,3257,8608,50.4156799316406,18.3799172639847,18.7789998054504,0,0.949000000953674,1.6139999628067,2020_2,fixa,12531,2907,9173,49.8913726806641,19.7369270324707,18.8550004959106,0,1.05900001525879,1.5160000026226,50.1535263061524,19.0584221482277,18.8170001506805,0,1.00400000810623,1.56499998271465
26,2020_1,27,fixa,2346,41,1893,48.0073204040527,16.9821624755859,20.1240005493164,0,0.926499992609024,1.60625001788139,2020_2,fixa,4350,2,3876,52.9313297271729,21.2687997817993,16.8784999847412,0,1.01999998092651,1.36600005626678,50.4693250656128,19.1254811286926,18.5012502670288,0,0.973249986767769,1.48612503707409
27,2020_1,28,fixa,9884,737,8927,24.9427089691162,9.80784320831299,24.6795001029968,0,1.88550001382828,2.67999997735023,2020_2,fixa,10613,858,9390,27.2824287414551,13.9303321838379,19.2395000457764,0,1.682000041008,2.10850003361702,26.1125688552856,11.8690876960754,21.9595000743866,0,1.78375002741814,2.39425000548363
28,2020_1,29,fixa,10713,24,10121,41.2723503112793,18.3072261810303,19.8815002441406,0,1.16724999248981,1.65200001001358,2020_2,fixa,12087,18,11621,49.5717430114746,18.6714725494385,19.2925000190735,0,1.08399999141693,1.60800004005432,45.422046661377,18.4893493652344,19.5870001316071,0,1.12562499195337,1.63000002503395
29,2020_1,30,fixa,14750,9,14011,23.67591381073,18.8042163848877,12.2117500305176,0,1.92524999380112,1.9835000038147,2020_2,fixa,15395,4,14765,28.6965866088867,21.8545436859131,10.8120002746582,0.337837845087051,1.74199998378754,1.88249999284744,26.1862502098083,20.3293800354004,11.5118751525879,0.168918922543526,1.83362498879433,1.93299999833107
30,2020_1,31,fixa,5676,2,5530,23.4983682632446,21.7753467559814,12.4089996814728,0,1.30275000631809,1.35350000858307,2020_2,fixa,11792,0,11627,35.3443946838379,27.1586112976074,10.9890003204346,0,1.39499998092651,1.17999994754791,29.4213814735413,24.4669790267944,11.6990000009537,0,1.3488749936223,1.26674997806549
31,2020_1,32,fixa,9402,42,9042,42.7404975891113,17.324782371521,18.1270003318787,0,1.130499958992,1.75349998474121,2020_2,fixa,8390,288,7711,50.7537269592285,19.5656681060791,16,0,0.979499995708466,1.58349996805191,46.7471122741699,18.4452252388001,17.0635001659393,0,1.05499997735024,1.66849997639656
32,2020_1,33,fixa,6097,0,5904,23.5769958496094,22.3718662261963,12.9989995956421,0,1.47800004482269,1.8309999704361,2020_2,fixa,7380,3,7053,35.4922313690186,31.1342544555664,11.7919998168945,0,1.36749997735024,1.35250002145767,29.534613609314,26.7530603408813,12.3954997062683,0,1.42275001108646,1.59174999594688
33,2020_1,34,fixa,6386,1,5936,38.7803115844727,17.8266773223877,16.6040005683899,0,1.06225000321865,1.57324999570847,2020_2,fixa,8355,3,7765,45.9407043457031,19.310564994812,13.2844998836517,0,0.953000009059906,1.42799997329712,42.3605079650879,18.5686211585999,14.9442502260208,0,1.00762500613928,1.50062498450279
34,2020_1,35,fixa,39149,13231,25058,53.0119667053223,29.0823941230774,10.3967502117157,0,0.779999971389771,1.03200002014637,2020_2,fixa,22438,3973,17643,60.0671768188477,31.9839906692505,11.4825000762939,0,0.775499999523163,1.02149999141693,56.539571762085,30.5331923961639,10.9396251440048,0,0.777749985456467,1.02675000578165
35,2020_1,36,fixa,15787,11,15540,23.5841598510742,22.8071880340576,13.5865001678467,0,1.45249998569489,1.27799999713898,2020_2,fixa,16830,0,16574,27.2378950119018,26.788809299469,12.6570000648499,0,1.5354999769479,1.275499984622,25.411027431488,24.7979986667633,13.1217501163483,0,1.49399998132139,1.27674999088049
36,2020_1,37,fixa,12926,12,12382,28.3785915374756,18.4390525817871,18.3344993591309,0,1.38900005817413,1.69099998474121,2020_2,fixa,13128,0,12598,34.0239543914795,19.2318162918091,16.9809999465942,0,1.24800002574921,1.67700004577637,31.2012729644775,18.8354344367981,17.6577496528626,0,1.31850004196167,1.68400001525879
37,2020_1,38,fixa,14092,1672,11275,42.2457408905029,18.8897137641907,15.0107500553131,0,0.871999979019165,1.33199998736382,2020_2,fixa,16563,3,15527,49.8249435424805,20.7907972335815,14.9427502155304,0,0.980000019073486,1.22399997711182,46.0353422164917,19.8402554988861,14.9767501354218,0,0.925999999046326,1.27799998223782
38,2020_1,39,fixa,4840,5,4366,41.160831451416,19.3717994689941,15.5574996471405,0,0.992999985814094,1.59899997711182,2020_2,fixa,6630,1,6297,69.2989654541016,14.596825838089,19.9860000610352,0,0.787750005722046,1.76800000667572,55.2298984527588,16.9843126535416,17.7717498540878,0,0.89037499576807,1.68349999189377
39,2020_1,40,fixa,6127,2,5944,58.2334861755371,18.8528046607971,14.2349996566772,0,0.856000006198883,1.22800004482269,2020_2,fixa,9585,0,9202,80.2572784423828,23.1141929626465,13.4849996566772,0,0.726999998092651,1.12100005149841,69.24538230896,20.9834988117218,13.8599996566772,0,0.791500002145767,1.17450004816055
40,2020_1,41,fixa,4722,6,4303,41.0380706787109,17.8161926269531,18.7940006256104,0,1.24199998378754,2.0220000743866,2020_2,fixa,5689,0,5304,53.7676906585693,20.8113613128662,14.8800001144409,0,1.0719999819994,1.46700000762939,47.4028806686401,19.3137769699097,16.8370003700256,0,1.15699998289347,1.744500041008
41,2020_1,42,fixa,13449,11,12729,26.2741222381592,10.6248944997787,21.1900000572205,0,1.42400000244379,1.95950001478195,2020_2,fixa,8938,2,8241,30.2890110015869,13.8103122711182,20.2980003356934,0,1.51300001144409,2.03800010681152,28.281566619873,12.2176033854485,20.7440001964569,0,1.46850000694394,1.99875006079674
42,2020_1,43,fixa,4128,3,3686,19.0741348266602,14.727520942688,12.9954996109009,0.5,1.69550001621246,1.70649999380112,2020_2,fixa,4194,0,3871,23.0334243774414,17.6898648738861,11.1020002365112,0,1.682000041008,1.55300003290176,21.0537796020508,16.208692908287,12.0487499237061,0.25,1.68875002861023,1.62975001335144
43,2020_1,44,fixa,7017,0,6862,19.5149278640747,16.5179138183594,15.539999961853,0,1.54999995231628,2.16749992966652,2020_2,fixa,8980,1,8669,27.252917766571,22.8928880691528,12.9965000152588,0,1.43000000715256,1.64749997854233,23.3839228153229,19.7054009437561,14.2682499885559,0,1.48999997973442,1.90749995410442
44,2020_1,45,fixa,7346,18,6845,52.3326454162598,21.4691333770752,13.1707503795624,0,0.861999996006489,1.29999995231628,2020_2,fixa,9448,6,8746,58.0673599243164,23.9526348114014,15.1612501144409,0,0.85249999165535,1.16449999809265,55.2000026702881,22.7108840942383,14.1660002470016,0,0.857249993830919,1.23224997520447
45,2020_1,46,fixa,11173,8,10621,28.8796668052673,16.6128697395325,18.7000007629395,0,1.3655000180006,1.70399996638298,2020_2,fixa,15484,5,14954,33.0623693466187,18.8421220779419,18.2530002593994,0,1.29250003397465,1.80400002002716,30.971018075943,17.7274959087372,18.4765005111694,0,1.32900002598763,1.75399999320507
46,2020_1,47,fixa,8614,4,8251,22.616621017456,13.8381271362305,23.3270001411438,0,1.73850001394749,2.12649992108345,2020_2,fixa,11204,0,10923,29.7614707946777,17.8972797393799,21.2659997940063,0,1.58350002765656,2.05449998378754,26.1890459060669,15.8677034378052,22.2964999675751,0,1.66100002080202,2.09049995243549
47,2020_1,48,fixa,7555,11,7093,56.6225929260254,25.259880065918,11.7259998321533,0,0.759999990463257,1.29200005531311,2020_2,fixa,15139,9,14552,66.7570629119873,19.9083433151245,16.9624996185303,0,0.766999989748001,1.29999995231628,61.6898279190063,22.5841116905212,14.3442497253418,0,0.763499990105629,1.2960000038147
