semestre,district_id,banda_larga,nro_medicoes,medicoes_ipv6,medicoes_ipv4,mediana_download,mediana_upload,mediana_latencia,mediana_perdapacotes,mediana_jitterdown,mediana_jitterup
2023_1,01,fixa,2322,250,1852,148.91245651245117,93.47372817993164,10.034749984741213,0.0,0.5584999918937683,1.0315000116825104
2023_1,02,fixa,2374,292,1932,126.85330963134766,84.43539810180664,10.18499994277954,0.0,0.534500002861023,1.2397499978542328
2023_1,03,fixa,1113,20,1077,82.31583404541016,87.11042022705078,8.333000183105469,0.0,0.5889999866485596,0.5575000047683716
2023_1,04,fixa,698,190,345,94.21170043945312,83.81243896484375,11.585000038146973,0.0,0.7169999778270721,1.2925000190734863
2023_1,05,fixa,3002,466,2130,91.58456039428712,59.34101867675781,11.64050006866455,0.0,0.8944999873638153,1.3289999961853027
2023_1,06,fixa,2848,334,2167,83.18814086914062,68.84073448181152,12.49749994277954,0.0,0.9099999964237212,0.9490000009536744
2023_1,07,fixa,2489,239,2041,85.74024200439453,56.74350070953369,12.498000144958496,0.0,0.9669999927282332,1.215999960899353
2023_1,08,fixa,3638,302,3061,110.47686862945557,70.73831939697266,10.839499950408936,0.0,0.6669999957084656,1.0594999603927135
2023_1,09,fixa,1701,185,1274,80.86742401123047,56.39147567749024,11.998000144958496,0.0,0.8075000047683716,0.8824999928474426
2023_1,10,fixa,1336,106,1117,121.21936798095705,85.4803695678711,10.057000160217283,0.0,0.9110000133514404,1.1799999475479126
2023_1,11,fixa,1744,299,1151,37.56300926208496,44.33955764770508,10.792500019073486,0.0,1.31850004196167,1.2497500032186508
2023_1,12,fixa,2835,629,1742,129.24420166015625,93.48183059692384,17.498499870300293,0.0,0.8734999895095825,2.53275004029274
2023_1,13,fixa,1441,448,673,113.62409591674805,99.05198669433594,9.321000099182127,0.0,0.6270000040531158,0.664000004529953
2023_1,14,fixa,1169,105,974,106.18153190612792,79.45188522338867,10.994999885559082,0.0,0.7919999957084656,1.059000015258789
2023_1,15,fixa,1102,219,693,95.12899780273438,81.8348388671875,8.539249897003174,0.0,0.7425000071525574,0.9067499786615372
2023_1,16,fixa,3939,719,2390,93.28548431396484,79.0009994506836,13.098999977111816,0.0,0.6389999985694885,0.9120000004768372
