semestre,district_id,banda_larga,nro_medicoes,medicoes_ipv6,medicoes_ipv4,mediana_download,mediana_upload,mediana_latencia,mediana_perdapacotes,mediana_jitterdown,mediana_jitterup
2021_2,01,fixa,6493,369,5988,91.14322662353516,41.20474624633789,11.98574995994568,0.0,0.8659999817609787,1.3062500059604645
2021_2,02,fixa,8111,1971,6081,91.4485855102539,36.126007080078125,10.740000247955322,0.0,0.6794999837875366,1.4140000343322754
2021_2,03,fixa,1083,72,977,48.91806221008301,48.60330009460449,8.615750074386597,0.0,1.1699999570846558,0.7177499979734421
2021_2,04,fixa,2537,313,2079,74.67701721191406,35.13719177246094,13.470499753952026,0.0,1.0964999943971634,1.7135000228881836
2021_2,05,fixa,2840,344,2346,65.72119903564453,25.96880531311035,13.049999713897703,0.0,1.1360000371932983,1.500499963760376
2021_2,06,fixa,5192,307,4660,78.64461040496826,41.31222534179688,11.618500232696531,0.0,0.9639999866485596,1.1490000188350675
2021_2,07,fixa,9960,486,9329,55.73078536987305,36.40774154663086,11.99899959564209,0.0,0.9302500039339066,0.8759999871253967
2021_2,08,fixa,5066,318,4416,64.8433837890625,29.876990795135494,12.598999977111816,0.0,0.890500009059906,1.3320000171661377
2021_2,09,fixa,1563,159,1197,61.326202392578125,37.93534851074219,13.449999809265137,0.0,0.8760000169277191,1.0475000143051147
2021_2,10,fixa,8080,229,7734,51.14484024047852,50.14713668823242,5.172624945640564,0.0,0.4369999915361404,0.4839999973773956
2021_2,11,fixa,8086,767,6748,49.43328094482422,38.15530967712402,10.99899959564209,0.0,1.6270000338554382,1.203499972820282
2021_2,12,fixa,4328,496,3604,81.16063690185547,32.1297492980957,12.49399995803833,0.0,0.8610000014305115,1.643999993801117
2021_2,13,fixa,6496,410,5913,76.09319114685059,32.58811950683594,13.743000030517578,0.0,1.2435000538825989,1.4665000140666962
2021_2,14,fixa,2268,289,1921,90.050806440413,48.037424087524414,8.642499923706055,0.0,0.7020000219345093,0.8194999992847443
