,semestre_1,district_id,banda_larga_1,nro_medicoes_1,medicoes_ipv6_1,medicoes_ipv4_1,mediana_download_1,mediana_upload_1,mediana_latencia_1,mediana_perdapacotes_1,mediana_jitterdown_1,mediana_jitterup_1,semestre_2,banda_larga_2,nro_medicoes_2,medicoes_ipv6_2,medicoes_ipv4_2,mediana_download_2,mediana_upload_2,mediana_latencia_2,mediana_perdapacotes_2,mediana_jitterdown_2,mediana_jitterup_2,media_download,media_upload,media_latencia,media_perdapacotes,media_jitterdown,media_jitterup
0,2021_1,1,fixa,8322,267,7783,62.3796720504761,22.0962677001953,14.6820001602173,0,1.12999999523163,1.74000000953674,2021_2,fixa,6493,369,5988,91.1432266235352,41.2047462463379,11.9857499599457,0,0.865999981760979,1.30625000596046,76.7614493370056,31.6505069732666,13.3338750600815,0,0.997999988496304,1.5231250077486
1,2021_1,2,fixa,6116,1344,4610,87.0336952209473,27.4774503707886,11.9989995956421,0,0.751250013709068,1.45299994945526,2021_2,fixa,8111,1971,6081,91.4485855102539,36.1260070800781,10.7400002479553,0,0.679499983787537,1.41400003433228,89.2411403656006,31.8017287254334,11.3694999217987,0,0.715374998748302,1.43349999189377
2,2021_1,3,fixa,539,58,404,35.740213394165,42.4925870895386,10.4944996833801,0,1.58200001716614,1.14099997282028,2021_2,fixa,1083,72,977,48.918062210083,48.6033000946045,8.6157500743866,0,1.16999995708466,0.717749997973442,42.329137802124,45.5479435920715,9.55512487888336,0,1.3759999871254,0.929374985396862
3,2021_1,4,fixa,7672,156,7283,49.2799854278564,20.5701465606689,14.0659999847412,0,1.09849999472499,1.72474999725819,2021_2,fixa,2537,313,2079,74.6770172119141,35.1371917724609,13.470499753952,0,1.09649999439716,1.71350002288818,61.9785013198853,27.8536691665649,13.7682498693466,0,1.09749999456108,1.71912501007319
4,2021_1,5,fixa,5807,202,5308,48.3333225250244,19.6154708862305,16.1889991760254,0,1.19900000095367,1.75600004196167,2021_2,fixa,2840,344,2346,65.7211990356445,25.9688053131104,13.0499997138977,0,1.1360000371933,1.50049996376038,57.0272607803345,22.7921380996704,14.6194994449615,0,1.16750001907349,1.62825000286102
5,2021_1,6,fixa,4951,96,4689,66.3448104858398,31.5970182418823,12.3807499408722,0,0.902999997138977,1.21375001221895,2021_2,fixa,5192,307,4660,78.6446104049683,41.3122253417969,11.6185002326965,0,0.96399998664856,1.14900001883507,72.4947104454041,36.4546217918396,11.9996250867844,0,0.933499991893768,1.18137501552701
6,2021_1,7,fixa,11329,261,10748,58.3291168212891,26.560779094696,12.6405000686646,0,0.952000021934509,1.22799998521805,2021_2,fixa,9960,486,9329,55.7307853698731,36.4077415466309,11.9989995956421,0,0.930250003933907,0.875999987125397,57.0299510955811,31.4842603206635,12.3197498321533,0,0.941125012934208,1.05199998617172
7,2021_1,8,fixa,6425,174,5936,78.3587245941162,23.1923751831055,12.9974999427795,0,0.856000006198883,1.46850001811981,2021_2,fixa,5066,318,4416,64.8433837890625,29.8769907951355,12.5989999771118,0,0.890500009059906,1.33200001716614,71.6010541915894,26.5346829891205,12.7982499599457,0,0.873250007629395,1.40025001764298
8,2021_1,9,fixa,3591,63,3412,78.400764465332,29.8754425048828,12.2712500095367,0,0.772250015288591,1.01799999177456,2021_2,fixa,1563,159,1197,61.3262023925781,37.9353485107422,13.4499998092651,0,0.876000016927719,1.04750001430511,69.8634834289551,33.9053955078125,12.8606249094009,0,0.824125016108155,1.03275000303984
9,2021_1,10,fixa,3394,72,3190,79.2662086486816,44.1011919975281,9.78249979019165,0,0.921250000596046,0.987999975681305,2021_2,fixa,8080,229,7734,51.1448402404785,50.1471366882324,5.17262494564056,0,0.43699999153614,0.483999997377396,65.2055244445801,47.1241643428803,7.47756236791611,0,0.679124996066093,0.73599998652935
10,2021_1,11,fixa,13822,252,13207,35.9417591094971,28.4157743453979,11.1140003204346,0,1.54000002145767,1.29200002551079,2021_2,fixa,8086,767,6748,49.4332809448242,38.155309677124,10.9989995956421,0,1.62700003385544,1.20349997282028,42.6875200271607,33.285542011261,11.0564999580383,0,1.58350002765656,1.24774999916554
11,2021_1,12,fixa,3765,250,3167,62.3051643371582,20.709924697876,14.7889995574951,0,0.95949998497963,1.8639999628067,2021_2,fixa,4328,496,3604,81.1606369018555,32.1297492980957,12.4939999580383,0,0.861000001430512,1.64399999380112,71.7329006195068,26.4198369979858,13.6414997577667,0,0.910249993205071,1.75399997830391
12,2021_1,13,fixa,10596,254,9891,51.9083557128906,26.1866135597229,14.3230001926422,0,1.32550004124641,1.81050002574921,2021_2,fixa,6496,410,5913,76.0931911468506,32.5881195068359,13.7430000305176,0,1.2435000538826,1.4665000140667,64.0007734298706,29.3873665332794,14.0330001115799,0,1.28450004756451,1.63850001990795
13,2021_1,14,fixa,3462,176,3157,58.975513458252,21.3790922164917,12.9242498874664,0,0.90124998986721,1.32249999046326,2021_2,fixa,2268,289,1921,90.050806440413,48.0374240875244,8.64249992370606,0,0.702000021934509,0.819499999284744,74.5131599493325,34.7082581520081,10.7833749055862,0,0.80162500590086,1.070999994874
14,2021_1,15,fixa,2579,186,2178,63.4080238342285,37.4873380661011,13.9914999008179,0,1.02399998903275,1.41999995708466,2021_2,fixa,2866,646,2112,88.6313171386719,45.7171897888184,11.9989995956421,0,0.908000007271767,1.17049998044968,76.0196704864502,41.6022639274597,12.99524974823,0,0.965999998152256,1.29524996876717
15,2021_1,16,fixa,6955,416,6239,73.5617446899414,26.0058441162109,13.2789998054504,0,1.05000001192093,1.56900000572205,2021_2,fixa,6375,715,5447,92.1308822631836,36.2411041259766,12.9190001487732,0,0.974999994039536,1.26625001430511,82.8463134765625,31.1234741210937,13.0989999771118,0,1.01250000298023,1.41762501001358
16,2021_1,17,fixa,15612,330,14648,41.7781295776367,25.6748542785645,11.1749997138977,0,1.25,1.37000000476837,2021_2,fixa,13816,1132,12079,51.7386703491211,31.630443572998,10.2912497520447,0,1.20024999976158,1.17199996113777,46.7583999633789,28.6526489257812,10.7331247329712,0,1.22512499988079,1.27099998295307
17,2021_1,18,fixa,5229,248,4677,53.117301940918,21.7298011779785,13.7994999885559,0,1.12950000166893,1.35599994659424,2021_2,fixa,3441,409,2907,76.0217018127441,27.5221333503723,13.8920001983643,0,0.967999994754791,1.29299998283386,64.5695018768311,24.6259672641754,13.8457500934601,0,1.04874999821186,1.32449996471405
18,2021_1,19,fixa,9453,217,8925,28.6916561126709,21.5184078216553,11.9899997711182,0,1.24699997901917,0.996000021696091,2021_2,fixa,9092,429,8496,39.4241485595703,30.3068943023682,10.4930000305176,0,0.997000008821487,0.906999975442886,34.0579023361206,25.9126510620117,11.2414999008179,0,1.12199999392033,0.951499998569489
19,2021_1,20,fixa,7318,219,6878,72.6880226135254,29.8905191421509,12.1339998245239,0,0.909500002861023,1.33349996805191,2021_2,fixa,5927,569,5248,92.2709674835205,26.1053705215454,11.9889998435974,0,0.747749999165535,1.298249989748,82.479495048523,27.9979448318481,12.0614998340607,0,0.828625001013279,1.31587497889996
20,2021_1,21,fixa,5750,138,5441,65.127631187439,23.347728729248,12.9979996681213,0,0.947999984025955,1.53199994564056,2021_2,fixa,4579,285,4199,82.3195571899414,32.0591468811035,13.2490003108978,0,0.983250021934509,1.64875000715256,73.7235941886902,27.7034378051758,13.1234999895096,0,0.965625002980232,1.59037497639656
21,2021_1,22,fixa,9905,350,9208,48.165337562561,28.9311294555664,11.4340000152588,0,1.09899999201298,1.18599998950958,2021_2,fixa,9562,909,8365,62.4609870910645,37.2095527648926,13.1832497119904,0,1.05400002002716,1.31599998474121,55.3131623268127,33.0703411102295,12.3086248636246,0,1.07650000602007,1.2509999871254
22,2021_1,23,fixa,9948,1694,7835,49.9365692138672,24.4355602264404,12.3175001144409,0,1.30524995923042,1.2335000038147,2021_2,fixa,12817,2415,10189,55.1326560974121,37.4297370910645,11.6000003814697,0,1.11550000309944,1.21200001239777,52.5346126556397,30.9326486587524,11.9587502479553,0,1.21037498116493,1.22275000810623
23,2021_1,24,fixa,5123,457,4365,49.5925121307373,18.94557762146,16.3897495269775,0,1.10875001549721,1.74899995326996,2021_2,fixa,3774,602,2907,82.7048187255859,22.6533241271973,15.146999835968,0,1.01599997282028,1.53999996185303,66.1486654281616,20.7994508743286,15.7683746814728,0,1.06237499415874,1.64449995756149
24,2021_1,25,fixa,14601,201,14095,31.0681781768799,22.1353812217712,10.8127496242523,0,1.65600001811981,1.23575001955032,2021_2,fixa,9627,245,9302,49.4780158996582,49.4332809448242,7.27174997329712,0,0.866999998688698,0.773249998688698,40.273097038269,35.7843310832977,9.04224979877472,0,1.26150000840426,1.00450000911951
25,2021_1,26,fixa,10208,1197,8824,67.3709335327149,24.0252857208252,13.9160003662109,0,0.943499997258186,1.3759999871254,2021_2,fixa,7760,1063,6542,61.37255859375,33.673469543457,12.1637499332428,0,1.08949998021126,1.21525001525879,64.3717460632324,28.8493776321411,13.0398751497269,0,1.01649998873472,1.29562500119209
26,2021_1,27,fixa,7144,290,6443,74.552547454834,31.896803855896,10.3769998550415,0,0.859000027179718,0.972000002861023,2021_2,fixa,12244,619,11441,51.1043510437012,49.4332809448242,6.94249999523163,0,0.541750006377697,0.509750001132488,62.8284492492676,40.6650424003601,8.65974992513657,0,0.700375016778708,0.740875001996756
27,2021_1,28,fixa,10230,1520,8482,29.909273147583,18.3516597747803,15.7170000076294,0,1.83450001478195,1.98424997925758,2021_2,fixa,7845,1848,5882,41.4514484405518,26.6090545654297,12.2932500839233,0,1.74000000953674,1.77325001358986,35.6803607940674,22.480357170105,14.0051250457764,0,1.78725001215935,1.87874999642372
