semestre,district_id,banda_larga,nro_medicoes,medicoes_ipv6,medicoes_ipv4,mediana_download,mediana_upload,mediana_latencia,mediana_perdapacotes,mediana_jitterdown,mediana_jitterup
2022_2,01,fixa,3004,308,2571,93.64189910888672,56.64468765258789,10.992000102996826,0.0,0.7750000059604645,1.3585000038146973
2022_2,02,fixa,3236,689,2482,102.58653259277344,49.43328094482422,12.22700023651123,0.0,0.6620000004768372,1.5645000040531158
2022_2,03,fixa,2670,47,2598,88.76946258544922,94.7963638305664,8.714999675750732,0.0,1.0230000019073486,0.5509999990463257
2022_2,04,fixa,888,202,571,92.661958694458,48.98303031921387,12.49899959564209,0.0,0.9039999842643738,1.6109999418258667
2022_2,05,fixa,2793,407,2140,118.49384689331056,53.14550971984863,12.991499900817873,0.0,0.887499988079071,1.4190000295639038
2022_2,06,fixa,3705,521,3028,70.2704906463623,48.800514221191406,15.189000129699709,0.0,1.026999980211258,1.1500000357627869
2022_2,07,fixa,3574,478,2944,76.5069580078125,49.68307876586914,12.997249841690063,0.0,1.0174999833106997,1.326999992132187
2022_2,08,fixa,3728,251,3425,96.60441970825195,75.09530258178711,9.894000053405762,0.0,0.6794999837875366,1.012000024318695
2022_2,09,fixa,1887,99,1734,91.45000076293944,92.9548954963684,7.418499827384949,0.0,0.5249999947845936,0.6124999821186066
2022_2,10,fixa,2425,70,2306,85.90518379211426,58.13123321533203,9.0,0.0,1.030000001192093,0.888250008225441
2022_2,11,fixa,2769,303,2304,47.68788528442383,46.50071001052856,12.07699966430664,0.0,1.687000036239624,1.5219999849796295
2022_2,12,fixa,2395,295,1988,82.98426055908203,53.544189453125,11.090499877929688,0.0,0.9484999775886536,1.5334999859333038
2022_2,13,fixa,859,255,506,92.0248565673828,55.23270988464356,12.1850004196167,0.0,1.42849999666214,1.5184999704360962
2022_2,14,fixa,1162,161,947,91.94189071655272,50.6510009765625,11.66599988937378,0.0,0.9135000109672546,1.2730000019073486
2022_2,15,fixa,1300,329,859,94.9739990234375,61.856356620788574,12.098999977111816,0.0,0.973000019788742,1.2970000058412552
2022_2,16,fixa,2360,428,1756,93.95322036743164,51.837440490722656,12.439000129699709,0.0,1.0702499970793724,1.419999971985817
2022_2,17,fixa,5568,930,4428,94.07457733154295,61.92345428466797,8.98900032043457,0.0,0.7379999756813049,0.9222499877214432
2022_2,18,fixa,2625,321,2155,85.96507263183594,50.65850067138672,13.189500331878662,0.0,1.2664999961853027,1.4020000100135803
2022_2,19,fixa,3725,301,3265,94.552490234375,71.82437324523926,8.892000198364258,0.0,0.7909999787807465,0.7839999794960022
2022_2,20,fixa,3096,560,2364,115.75132751464844,49.72053527832031,13.034500122070312,0.0,0.815500020980835,1.300499975681305
2022_2,21,fixa,1290,232,997,93.25580596923828,48.94793891906738,11.117500066757202,0.0,0.7517500072717667,1.2389999628067017
2022_2,22,fixa,4787,916,3723,71.66578674316406,49.43328094482422,12.641000032424929,0.0,1.086999997496605,1.293250024318695
2022_2,23,fixa,5503,863,4536,85.46795904636383,61.5373420715332,10.390999794006348,0.0,0.8765000104904175,1.0729999542236328
2022_2,24,fixa,3245,276,2884,93.5878677368164,48.440237045288086,11.843500137329102,0.0,0.8240000009536743,1.2754999995231628
2022_2,25,fixa,2989,178,2743,94.0439224243164,70.56119537353516,7.684999942779541,0.0,0.9480000138282776,0.8999999761581421
2022_2,26,fixa,1845,237,1499,90.3696117401123,55.21094131469727,9.97125005722046,0.0,0.8599999845027924,0.9914999790489674
2022_2,27,fixa,2295,298,1918,93.44414138793944,53.83225631713867,10.998999834060667,0.0,0.9305000007152556,1.222249984741211
2022_2,28,fixa,5825,1349,4442,78.1063461303711,52.5399341583252,11.89300012588501,0.0,1.2339999675750732,1.5044999718666077
