,semestre,district_id,banda_larga,nro_medicoes,medicoes_ipv6,medicoes_ipv4,mediana_download,mediana_upload,mediana_latencia,mediana_perdapacotes,mediana_jitterdown,mediana_jitterup
20,2020_1,21,fixa,5238,299,4679,49.68881702423096,18.483290195465088,17.579500198364258,0.0,1.0374999940395355,1.871499985456467
21,2020_1,22,fixa,13660,22,13075,31.39722776412964,18.7890043258667,14.437000036239624,0.0,1.2127499878406525,1.675250023603439
22,2020_1,23,fixa,9010,1743,6761,33.36361312866211,17.199328899383545,17.749000549316406,0.0,1.2730000019073486,1.6729999780654907
23,2020_1,24,fixa,3437,740,2295,31.8289794921875,9.41242218017578,26.0939998626709,0.0,1.5570000410079956,2.4579999446868896
24,2020_1,25,fixa,10614,1,10350,21.568675994873047,18.795238494873047,13.276999950408936,0.5,1.8834999799728396,1.5982500314712524
25,2020_1,26,fixa,12216,3257,8608,50.41567993164063,18.37991726398468,18.77899980545044,0.0,0.9490000009536744,1.6139999628067017
26,2020_1,27,fixa,2346,41,1893,48.007320404052734,16.982162475585938,20.124000549316406,0.0,0.926499992609024,1.6062500178813934
27,2020_1,28,fixa,9884,737,8927,24.94270896911621,9.807843208312988,24.679500102996823,0.0,1.8855000138282776,2.679999977350235
28,2020_1,29,fixa,10713,24,10121,41.2723503112793,18.307226181030277,19.881500244140625,0.0,1.1672499924898148,1.6520000100135803
29,2020_1,30,fixa,14750,9,14011,23.67591381072998,18.80421638488769,12.211750030517578,0.0,1.925249993801117,1.9835000038146973
30,2020_1,31,fixa,5676,2,5530,23.49836826324463,21.775346755981445,12.408999681472778,0.0,1.3027500063180923,1.3535000085830688
31,2020_1,32,fixa,9402,42,9042,42.74049758911133,17.324782371520996,18.127000331878666,0.0,1.1304999589920044,1.753499984741211
32,2020_1,33,fixa,6097,0,5904,23.57699584960937,22.37186622619629,12.99899959564209,0.0,1.4780000448226929,1.830999970436096
33,2020_1,34,fixa,6386,1,5936,38.780311584472656,17.826677322387695,16.604000568389893,0.0,1.0622500032186508,1.5732499957084656
34,2020_1,35,fixa,39149,13231,25058,53.011966705322266,29.082394123077396,10.396750211715698,0.0,0.7799999713897705,1.03200002014637
35,2020_1,36,fixa,15787,11,15540,23.58415985107422,22.807188034057617,13.58650016784668,0.0,1.4524999856948853,1.277999997138977
36,2020_1,37,fixa,12926,12,12382,28.378591537475582,18.43905258178711,18.33449935913086,0.0,1.3890000581741333,1.690999984741211
37,2020_1,38,fixa,14092,1672,11275,42.24574089050293,18.889713764190677,15.01075005531311,0.0,0.871999979019165,1.3319999873638153
38,2020_1,39,fixa,4840,5,4366,41.160831451416016,19.37179946899414,15.557499647140505,0.0,0.9929999858140944,1.5989999771118164
39,2020_1,40,fixa,6127,2,5944,58.23348617553711,18.85280466079712,14.234999656677246,0.0,0.8560000061988831,1.2280000448226929
40,2020_1,41,fixa,4722,6,4303,41.03807067871094,17.816192626953125,18.79400062561035,0.0,1.2419999837875366,2.0220000743865967
41,2020_1,42,fixa,13449,11,12729,26.27412223815918,10.624894499778748,21.19000005722046,0.0,1.4240000024437904,1.959500014781952
42,2020_1,43,fixa,4128,3,3686,19.07413482666016,14.727520942687988,12.99549961090088,0.5,1.6955000162124634,1.706499993801117
43,2020_1,44,fixa,7017,0,6862,19.514927864074707,16.517913818359375,15.539999961853027,0.0,1.5499999523162842,2.167499929666519
44,2020_1,45,fixa,7346,18,6845,52.332645416259766,21.469133377075195,13.170750379562378,0.0,0.8619999960064888,1.2999999523162842
45,2020_1,46,fixa,11173,8,10621,28.87966680526733,16.61286973953247,18.700000762939453,0.0,1.3655000180006027,1.7039999663829803
46,2020_1,47,fixa,8614,4,8251,22.61662101745605,13.838127136230469,23.3270001411438,0.0,1.7385000139474869,2.1264999210834503
47,2020_1,48,fixa,7555,11,7093,56.62259292602539,25.25988006591797,11.72599983215332,0.0,0.7599999904632568,1.2920000553131104
48,2020_1,49,fixa,6439,3,6237,48.93869757652283,21.5085391998291,16.472000122070312,0.0,0.912500023841858,1.6324999928474426
49,2020_1,50,fixa,5263,16,4892,45.702738761901855,16.277587890625,21.32949924468994,0.0,1.287999987602234,1.96399998664856
50,2020_1,51,fixa,10871,2151,8177,50.99125099182129,18.413293838500977,17.96525001525879,0.0,0.9169999957084656,1.9044999480247495
51,2020_1,52,fixa,910,0,903,89.52694320678711,86.7873306274414,3.892499923706055,0.0,0.3310000002384186,0.0799999982118606
52,2020_1,53,fixa,9269,2,8658,42.41059112548828,17.364508509635925,20.01650047302246,0.0,1.031999945640564,2.1864999532699585
53,2020_1,54,fixa,4597,8,4217,42.56027603149414,18.16882467269897,17.57699966430664,0.0,0.8950000107288361,1.7404999732971191
54,2020_1,55,fixa,8705,0,8563,22.84955596923828,17.39235830307007,11.001749992370604,0.0,1.4700000286102295,1.45625002682209
55,2020_1,56,fixa,4488,1,4436,64.4810562133789,37.0272274017334,11.99899959564209,0.0,0.6290000081062317,1.0520000457763672
56,2020_1,57,fixa,2892,6,2783,16.578049421310425,10.60755479335785,24.48500061035156,0.5,1.3777500092983246,2.38700008392334
57,2020_1,58,fixa,11214,20,10915,28.63945770263672,21.361769676208496,10.78499984741211,0.0,1.137250006198883,1.4539999961853027
58,2020_1,59,fixa,12885,11,12248,31.786788940429688,13.014970779418944,19.92924976348877,0.0,1.5205000042915344,2.2309999465942383
59,2020_1,60,fixa,6131,24,5655,45.11911010742188,19.458234786987305,18.191999435424805,0.0,1.1845000237226486,1.904750019311905
60,2020_1,61,fixa,9064,26,8758,35.25603103637695,21.88710880279541,14.687999725341797,0.0,1.008999943733215,1.149999976158142
61,2020_1,62,fixa,5634,28,5119,50.36709213256836,20.839963912963867,14.107749938964844,0.0,0.8040000200271606,1.4559999704360962
62,2020_1,63,fixa,4586,185,3864,36.30467796325684,15.2497980594635,19.41900062561035,0.0,1.2825000286102295,1.847000002861023
63,2020_1,64,fixa,6713,2,6425,35.253052711486816,18.48426628112793,22.25274991989136,0.0,1.0509999990463257,1.7630000114440918
64,2020_1,65,fixa,6977,12,6437,28.82539939880371,12.362109184265137,22.499000072479248,0.0,1.6135000437498093,2.501999974250793
65,2020_1,66,fixa,6801,197,6170,79.89214134216309,51.05935287475586,6.758000135421753,0.0,0.5334999859333038,0.5232500061392784
66,2020_1,67,fixa,6140,516,5155,35.63023376464844,15.910578727722168,21.45300006866455,0.0,1.2929999828338623,2.072499930858612
67,2020_1,68,fixa,8483,26,7789,29.67794609069824,9.804243087768556,23.186500072479248,0.0,1.649999976158142,2.581249952316284
68,2020_1,69,fixa,2390,20,2120,45.46080017089844,19.974340438842773,14.459499835968018,0.0,1.0130000114440918,1.6669999957084656
69,2020_1,70,fixa,11218,30,10521,40.3902702331543,18.510128021240234,17.98200035095215,0.0,1.1590000092983246,1.8509999513626096
70,2020_1,71,fixa,13279,1107,11581,51.43291091918945,19.25135707855225,15.696000099182127,0.0,0.8917500078678131,1.6064999997615814
71,2020_1,72,fixa,3392,13,2884,35.519020080566406,10.211562156677246,23.589000701904297,0.0,1.4359999895095823,2.284500002861023
72,2020_1,73,fixa,12335,8,11889,26.02635765075684,16.595181465148926,17.990999221801758,0.0,1.4839999675750732,1.9520000219345093
73,2020_1,74,fixa,7200,1,7016,30.40138816833496,20.84576988220215,14.890000343322754,0.0,1.2149999737739563,1.5509999990463257
74,2020_1,75,fixa,6867,1,6689,21.22421503067017,18.610103130340576,12.907750368118286,0.5,1.7940000295639038,1.738249957561493
75,2020_1,76,fixa,8091,1,7746,20.868985176086422,18.37784719467163,15.211750030517578,0.5,1.867249995470047,1.7000000476837158
76,2020_1,77,fixa,13895,3091,9865,50.32954788208008,19.789580821990967,16.62837505340576,0.0,0.9689999967813492,1.5347499549388883
77,2020_1,78,fixa,33552,284,31763,23.36142301559448,16.30870485305786,24.45499992370605,0.0,0.9357499927282332,1.4780000448226929
78,2020_1,79,fixa,3206,183,2932,35.52041053771973,15.97585153579712,19.15250015258789,0.0,1.0180000066757202,1.8830000162124636
79,2020_1,80,fixa,11399,19,10923,46.33157825469971,22.803401947021484,12.74025011062622,0.0,0.9589999914169312,1.4384999871253967
80,2020_1,81,fixa,9460,7,8965,36.34127426147461,18.51890563964844,14.864749908447266,0.0,1.0279999673366549,1.66349995136261
81,2020_1,82,fixa,5218,4,4608,38.5521240234375,15.556000709533691,20.98550033569336,0.0,1.034000039100647,1.9182499647140503
